事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
達欣工程股份有限公司,勞基法第32條第2項,延長勞工之工作時間連同正常工作時間，一日不得超過十二小時。延長之工作時間，一個月不得超過四十六小時,中環字第1020002785號函,102年1月30日(102年3月4日公布)
漢唐集成股份有限公司,勞基法第32條第2項,延長之工作時間，一個月不得超過四十六小時,中環字第1020002824號函,102年1月30日(102年3月4日公布)
