事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
臺塑汽車貨運股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1010286084號書函,101年10月2日
鈦昱精密股份有限公司,勞基法第21條第1項,未達基本工資,府勞動字第1010289555號書函,101年10月3日
岱宇國際股份有限公司,勞基法第59條第1項第2款,未依規定給予勞工職業災害補償,府勞動字第1010289567號書函,101年10月3日
慶欣欣鋼鐵股份有限公司,勞基法第32條第2項、第39條,1.延長工作時間超過法令規定 2.假日工資未給或於休假日工作未依規定加給工資,府勞動字第1010287808號書函,101年10月4日
維力食品工業股份有限公司,勞基法第32條第2項、第36條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,府勞動字第1010292545號書函,101年10月5日
正新橡膠工業股份有限公司	,勞基法第32條第2項、第38條,1.延長工作時間超過法令規定 2.未依規定給予特別休假,府勞動字第1010292518號書函,101年10月8日
章隆工業股份有限公司,勞基法第24條、第32條第2項、第39條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.假日工資未給或於休假日工作未依規定加給工資,府勞動字第1010295854號書函,101年10月9日
久津實業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字第1010295394號書函,101年10月9日
彰鹿預拌混凝土股份有限公司,勞基法第24條、第39條,延長工作時間未依規定加給工資,假日工資未給或於休假日工作未依規定加給工資,府勞動字第1010295655號書函,101年10月11日
莎拉餐飲有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,府勞動字第1010304606號書函,101年10月17日
展壯園藝股份有限公司,勞基法第21條第1項,未達基本工資,府勞動字第1010311522號書函,101年10月23日
蔡昭男（即基本工程行）,勞基法第70條,工作規則未依規定報備並公告揭示,府勞動字第1010314750號書函,101年10月25日
劉松岩（即凱聯企業社）,勞基法第21條第1項,未達基本工資,府勞動字第1010312979號書函,101年10月26日
佑懋興塑膠企業有限公司,勞基法22條第2項,工資未全額直接給付勞工,府勞動字第1010323830號書函,101年11月02日
永豐餘工業用紙股份有限公司,勞基法32條第2項,延長工作時間超過法令規定,府勞動字第1010325495號書函,101年11月06日
上晉電機股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1010323858號書函,101年11月07日
弘裕企業股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,府勞動字第1010326717號書函,101年11月08日
源恆工業股份有限公司,勞基法32條第2項、第36條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,府勞動字第1010325477號書函,101年11月09日
美利達工業股份有限公司,勞基法32條第2項、第36條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假	府勞動字第1010332207號書函,101年11月12日
麥思佳食品有限公司,勞基法21條第1項、第32條第2項、第36條,1. 未達基本工資 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假,府勞動字第1010333714號書函,101年11月12日
昇華工業股份有限公司,勞基法第38條,未依規定給予特別休假,府勞動字第1010333984號書函,101年11月15日
秀傳醫療社團法人秀傳紀念醫院,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字第1010339917號書函,101年11月15日
禾家香食品股份有限公司,勞基法第22條第2項、第30條第1項,1.工資未全額直接給付勞工 2.正常工作時間超過法令規定,府勞動字第1010330706號書函,101年11月15日
博易企業有限公司,勞基法30條第5項,未依規定置備勞工出勤紀錄表,府勞動字第1010337371號書函,101年11月15日
邱垂政（即仟記商行）,勞基法第36條,每七日中未有一日之休息作為例假,府勞動字第1010333737號書函,101年11月15日
華鉬實業股份有限公司,勞基法第22條第2項、第24條,1.工資未全額直接給付勞工 2.延長工作時間未依規定加給工資,府勞動字第1010333681號書函,101年11月15日
順悅企業有限公司,勞基法30條第5項,未依規定置備勞工出勤紀錄表,府勞動字第1010335732號書函,101年11月15日
崇岱企業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1010339326號書函,101年11月15日
立敦科技股份有限公司,勞基法第24條、第32條第2項,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定,府勞動字第1010345646號書函,101年11月21日
海昌國際股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,府勞動字第1010345565號書函,101年11月21日
天綾紡織企業有限公司,勞基法第36條,每七日中未有一日之休息作為例假,府勞動字第1010343568號書函,101年11月21日
東彰加油站有限公司,勞基法21條第1項,未達基本工資,府勞動字第1010351284號書函,101年11月27日
遠東工業皮帶股份有限公司	,勞基法第24條、第32條第2項、第36條、第70條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假 4.工作規則未依規定報備並公告揭示,府勞動字第1010350360號書函,101年11月29日
