項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,蔡文貴（即飛碟企業社）,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020056550號書函,102年3月1日
2,伸達工業有限公司,勞基法第38條,未依規定給予特別休假。,府勞動字第1020071504號書函,102年3月13日
3,冠成食品工廠,勞基法第23條第2項,未依規定置備勞工工資清冊。,府勞動字第1020091970號書函,102年3月29日
4,炎洲股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工。,府勞動字第1020095175號書函,102年4月2日
5,建大工業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020103946號書函,102年4月12日
6,漢弓股份有限公司（大村廠）,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020112121號書函,102年4月16日
7,博森紙業股份有限公司,勞基法第24條、勞基法第32條第2項、勞基法第35條,延長工作時間未依規定加給工資。延長工作時間超過法令規定。繼續工作四小時未有三十分鐘休息。,府勞動字第1020112749號書函,102年4月17日
8,財團法人彰化基督教醫院,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020110749號書函,102年4月17日
9,國光汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020133791號書函,102年5月6日
10,義錩工業股份有限公司,勞基法第38條、第39條,未依規定給予特別休假。假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020132509號書函,102年5月6日
11,施莉玲（即彰化縣私立文揚幼兒園）,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020143926號書函,102年5月15日
12,萬安保全股份有限公司,勞基法第24條、勞基法第39條、勞基法第32條第2項,延長工作時間未依規定加給工資。假日工資未給或於休假日工作未依規定加給工資。延長工作時間超過法令規定。,府勞動字第1020147453號書函,102年5月17日
13,大統長基食品廠股份有限公司,勞基法第23條第2項、勞基法第30條第5項、第39條,未依規定置備勞工工資清冊。未依規定置備勞工出勤紀錄表。假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020149231號書函,102年5月21日
14,丁揚興業股份有限公司,勞基法第24條、第39條,延長工作時間未依規定加給工資。假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020161525號書函,102年5月30日
15,漢銘醫院,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020163222號書函,102年5月31日
16,健昇超硬刀具有限公司,勞基法第24條、第43條,延長工作時間未依規定加給工資。請假期間未依規定給付工資。,府勞動字第1020161462號書函,102年5月31日
