事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
騏崴精密科技有限公司,勞基法32條第2項、勞基法第38條,1.延長工作時間超過法令規定 2.未依規定給予特別休假,府勞動字第1010363958號書函,101年12月07日
東勤紡織實業有限公司,勞基法第24條、勞基法32條第2項、勞基法第36條、勞基法第38條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假 4.未依規定給予特別休假,府勞動字第1010365874號書函,101年12月10日
繼茂橡膠工業股份有限公司,勞基法32條第2項,延長工作時間超過法令規定,府勞動字第1010362328號書函,101年12月06日
春霖服務有限公司,勞基法第38條,未依規定給予特別休假,府勞動字第1010366101號書函,101年12月10日
陳秋萍（即老樹糖屋商行）,勞基法21條第1項、勞基法第39條,1.未達基本工資 2.假日工資未給或於休假日工作未依規定加給工資,府勞動字第1010355668號書函,101年12月05日
台全油封工業股份有限公司,勞基法第70條,工作規則未依規定報備並公告揭示,府勞動字第1010360665號書函,101年12月05日
寶島光學科技股份有限公司,勞基法第24條、勞基法32條第2項、勞基法第39條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.假日工資未給或於休假日工作未依規定加給工資,府勞動字第1010378325號書函,101年12月19日
藍潔國際開發有限公司,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1010383571號書函,101年12月24日
台灣玻璃工業股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,府勞動字第1010388209號書函,101年12月26日
鴻謀企業有限公司,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1010377958號書函,101年12月24日
尤清田,勞基法第59條第4款,未依規定給予勞工職業災害補償,府勞動字第1010388205號書函,102年01月03日
連成油品有限公司,勞基法第36條,每七日中未有一日之休息作為例假,府勞動字第1020006687號書函,102年01月10日
台同運動用品有限公司,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1020009929號書函,102年01月11日
富山餐廳股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,府勞動字第1020012823號書函,102年01月14日
御境保全股份有限公司,勞基法第21條第1項,未達基本工資,府勞動字第1020024185號書函,102年01月23日
