項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,志成鋼鐵股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020419636號,103年01月06日
2,模奇實業有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030002667號,103年01月08日
3,元成工業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1030005496號,103年01月8日
4,文賀實業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030006191號,103年01月10日
4,文賀實業股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1030006191號,103年01月10日
5,全通漁具有限公司,勞基法第22條第2項,未依規定工資應全額直接給付勞工。,府勞動字第1020421634號,103年01月10日
5,全通漁具有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020421634號,103年01月10日
6,勝美營造有限公司,勞基法第22條第2項,未依規定工資應全額直接給付勞工。,府勞動字第1030008062號,103年01月13日
7,金福隆實業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030011909號,103年1月14日
7,金福隆實業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1030011909號,103年1月14日
8,福助針織股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030011905號,103年1月14日
8,福助針織股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1030011905號,103年1月14日
9,繼茂橡膠工業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030011873號,103年01月15日
10,吳志明（即成美醫院）,勞基法第38條,未依規定給予特別休假。,府勞動字第1020415106號,103年01月16日
11,顏保佳（即正峯工程行）,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1030019178號,103年01月23日
12,陳福慶,勞基法第23條第2項,未依規定置備勞工工資清冊。,府勞動字第1030018958號,103年01月23日
12,陳福慶,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1030018958號,103年01月23日
12,陳福慶,勞基法第36條,未依規定每七日中未有一日之休息作為例假。,府勞動字第1030018958號,103年01月23日
13,怡保保全股份有限公司,勞基法第36條,未依規定每七日中未有一日之休息作為例假。,府勞動字第1030028078號,103年1月29日
