事業單位名稱,違反法令條款,處分書文號,處分日期
康舒科技股份有限公司,勞基法第32條第2項,1011407856,101.3.16
宏星電子有限公司,勞基法第21條第1項,1011106324,101.2.1
上能科技有限公司,勞基法第21條第1項,1011154337,101.2.3
偉剛科技股份有限公司,勞基法第24條,1011139650,101.2.6
登康科技有公司,勞基法第24條勞基法第37條,1011205029,101.2.13
登康科技有公司,勞基法第43條,1011426254,101.3.20
宏達國際電子股份有限公司,勞基法第30條第5項,1011328298,101.3.8
欣大精密股份有限公司,勞基法第38條,1011419463,101.3.21
茂特科技有限公司,勞基法第32條第2項,1011457011,101.3.29
雲巖科技股份有限公司,勞基法第32條第2項,1011305609,101.3.6
