事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
柯燕卿(即青島水族寵物商行),勞基法第24條、第32條第2項、第39條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.假日工資未給或於休假日工作未依規定加給工資,北府勞條字第1012449031號函、北府勞條字第10124490311號函、北府勞條字第10124490312號函,101年09月03日
統聯汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1012692944號函,101年10月12日
武川車料工業股份有限公司,勞基法第7條、第23條第2項、第30條第5項,1.未依規定置備勞工名卡 2.未依規定置備勞工工資清冊 3.未依規定置備勞工出勤紀錄表,北府勞條字第10127687603號函、北府勞條字第10126876031號函、北府勞條字第10126876032號函,101年10月16日
音皇娛樂國際有限公司,勞基法第21條第1項、第24條、第32條第1項、第36條,1.未達基本工資 2.延長工作時間未依規定加給工資 3.延長工作時間不符法定要件 4.每七日中未有一日之休息作為例假,北府勞條字第1012731468號函、北府勞條字第10127314681號函、北府勞條字第10127314682號函、北府勞條字第10127314683號函,101年10月26日
精泉科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10213105541號函,102年02月26日
國光汽車客運股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第10132060371號函,102年01月02日
大有巴士股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1021063324號函,102年01月18日
台灣宅配通股份有限公司,勞基法第24條、第32條第2項,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定,北府勞條字第1021105436號函、北府勞條字第10211054361號函,102年01月18日
普威實業股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,北府勞條字第1021203399號函,102年02月01日
福容大飯店股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1021177351號函,102年01月29日
龍漢工業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1021072126號函,102年01月14日
聯安保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第1013214409號函,102年01月03日
燿華電子股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1013221971號函,102年01月03日
元碩工業有限公司,勞基法第24條、第32條第2項、第38條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.未依規定給予特別休假,北府勞條字第1013211787號函、北府勞條字第10132117871號函、北府勞條字第10132117872號函,102年01月02日
永成蛋品股份有限公司,勞基法第21條第1項、第24條、第32條第2項、第39條,1.未達基本工資 2.延長工作時間未依規定加給工資 3.延長工作時間超過法令規定 4.假日工資未給或於休假日工作未依規定加給工資,北府勞條字第1021268110號函、北府勞條字第10212681101號、北府勞條字第10212681102號函、北府勞條字第10212681103號函,102年02月20日
永昌冷凍有限公司,勞基法第24條、第32條第2項、第36條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假,北府勞條字第10211036721號函、北府勞條字第10211036722號函、北府勞條字第10211036723號函,102年01月24日
展炘股份有限公司,勞基法第24條、勞基法第24條、第32條第1項、第39條,1.延長工作時間未依規定加給工資 2.未依規定置備勞工出勤紀錄表 3.延長工作時間不符法定要件 4.假日工資未給或於休假日工作未依規定加給工資,北府勞條字第1021191404號函、北府勞條字第10211914041號函、北府勞條字第10211914042號函、北府勞條字第10211914043號函,102年02月05日
益合國際股份有限公司,勞基法第24條、第32條第2項、第39條、第70條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.假日工資未給或於休假日工作未依規定加給工資 4.工作規則未依規定報備並公告揭示,北府勞條字第1021269827號函、北府勞條字第10212698271號函、北府勞條字第10212698272號函、北府勞條字第10212698273號函,102年02月22日
得楷實業有限公司,勞基法第22條第2項、第24條、第32條第1項、第32條第2項、第36條、第39條,1.工資未全額直接給付勞工 2.延長工作時間未依規定加給工資 3.延長工作時間不符法定要件 4.延長工作時間超過法令規定 5.每七日中未有一日之休息作為例假 6.假日工資未給或於休假日工作未依規定加給工資,北府勞條字第1021290557號函、北府勞條字第10212905571號函、北府勞條字第10212905572號函、北府勞條字第10212905573號函、北府勞條字第10212905574號函、北府勞條字第10212905575號函,102年02月27日
電豐電業有限公司,勞基法第24條、第37條、第38條、第39條,1.延長工作時間未依規定加給工資 2.依規定應放假之日未予休假 3.未依規定給予特別休假 4.假日工資未給或於休假日工作未依規定加給工資,北府勞條字第1021229200號函、北府勞條字第10212292001號函、北府勞條字第10212292002號函、北府勞條字第10212292003號函,102年02月05日
環韋企業有限公司,勞基法第24條、第32條第2項、第39條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.假日工資未給或於休假日工作未依規定加給工資,北府勞條字第1021317865號函、北府勞條字第10213178651號函、北府勞條字第10213178652號函,102年02月26日
