項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,信源電器有限公司,勞基法第23條第2項,未依規定置備勞工工資清冊。,北府勞條字第1021735104號函,102年5月3日
1,信源電器有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,北府勞條字第10217351041號函,102年5月3日
1,信源電器有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第10217351042號函,102年5月3日
2,三商行股份有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第1021731155號函,102年5月3日
2,三商行股份有限公司,*勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10217311551號函,102年5月3日
2,三商行股份有限公司,勞基法第49條第1項,使女工從事夜間工作不符法定要件。,北府勞條字第10217311552號函,102年5月3日
3,藝光橡膠有限公司,勞基法第21條第1項,未達基本工資。,北府勞條字第1021767329號函,102年5月7日
3,藝光橡膠有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第10217673291號函,102年5月7日
3,藝光橡膠有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10217673292號函,102年5月7日
3,藝光橡膠有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第10217673293號函,102年5月7日
3,藝光橡膠有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10217673294號函,102年5月7日
4,全鈦科技有限公司,勞基法第22條第2項,工資未全額直接給付勞工。,北府勞條字第1021769738號函,102年5月7日
4,全鈦科技有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第10217697381號函,102年5月7日
4,全鈦科技有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10217697382號函,102年5月7日
4,全鈦科技有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10217697383號函,102年5月7日
5,家家藥粧有限公司,勞基法第21條第1項,未達基本工資。,北府勞條字第1021754886號函,102年5月9日
5,家家藥粧有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第10217548861號函,102年5月9日
5,家家藥粧有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,北府勞條字第10217548862號函,102年5月9日
5,家家藥粧有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第10217548863號函,102年5月9日
5,家家藥粧有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10217548864號函,102年5月9日
6,光華巴士股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1021849693號函,102年5月17日
7,基溢實業有限公司,勞基法第22條第2項,工資未全額直接給付勞工。,北府勞條字第1021830842號函,102年5月21日
7,基溢實業有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第10218308421號函,102年5月21日
7,基溢實業有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10218308422號函,102年5月21日
7,基溢實業有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10218308423號函,102年5月21日
8,寶元製衣股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1021830845號函,102年5月21日
8,寶元製衣股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10218308451號函,102年5月21日
8,寶元製衣股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10218308452號函,102年5月21日
9,國百企業有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1021865457號函,102年5月23日
9,國百企業有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10218654571號函,102年5月23日
