項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,統聯汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北勞條字第1021633260函,102年4月24日
2,國光汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北勞條字第1021539376函,102年4月1日
3,福和客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北勞條字第1021619207函,102年4月17日
4,大有巴士股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北勞條字第1021539754函,102年4月1日
