項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,三禾泰企業有限公司,勞基法第21條第1項,未達基本工資,北府勞條字第1021338025號函,102年3月01日
1,三禾泰企業有限公司,勞基法第22條第2項,工資未全額直接給付勞工,北府勞條字第10213380251號函,102年3月01日
1,三禾泰企業有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第10213380252號函,102年3月01日
2,中勤人力資源管理顧問股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022130471號函,102年7月02日
2,中勤人力資源管理顧問股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第10221304711號函,102年7月02日
3,晃盛電氣工程股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022158841號函,102年7月03日
3,晃盛電氣工程股份有限公司,*勞基法第38條,未依規定給予特別休假,北府勞條字第10221588411號函,102年7月03日
4,劉鎮生(即新北市私立宏洋老人長期照顧中心(養護型)),勞基法第21條第1項,未達基本工資,北府勞條字第1022157720號函,102年7月08日
4,劉鎮生(即新北市私立宏洋老人長期照顧中心(養護型)),勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第10221577201號函,102年7月08日
4,劉鎮生(即新北市私立宏洋老人長期照顧中心(養護型)),勞基法第38條,未依規定給予特別休假,北府勞條字第10221577202號函,102年7月08日
5,台灣彪馬股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022219034號函,102年7月12日
5,台灣彪馬股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10222190341號函,102年7月12日
5,台灣彪馬股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,北府勞條字第10222190342號函,102年7月12日
6,華冠通訊股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022233784號函,102年7月12日
7,大有巴士股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1022249477號函,102年7月16日
8,百樂龍企業有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1022219035號函,102年7月17日
9,陸仕企業股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1022249346號函,102年7月19日
10,萬仕達科技股份有限公司,*勞基法第22條第2項,工資未全額直接給付勞工,北府勞條字第1022319131號函,102年7月26日
11,燦坤實業股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022299800號函,102年7月30日
11,燦坤實業股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10222998001號函,102年7月30日
12,加新正企業有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022320777號函,102年7月31日
12,加新正企業有限公司,勞基法第38條,未依規定給予特別休假,北府勞條字第10223207771號函,102年7月31日
12,加新正企業有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,北府勞條字第10223207772號函,102年7月31日
12,加新正企業有限公司,勞基法第43條,請假期間未依規定給付工資,北府勞條字第10223207773號函,102年7月31日
13,指南汽車客運股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1022347453號函,102年8月02日
14,同欣電子工業股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1022347455號函,102年8月05日
14,同欣電子工業股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第10223474551號函,102年8月05日
15,台灣吉野家股份有限公司,*勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,北府勞條字第1022371882號函,102年8月05日
16,速遞家股份有限公司,勞基法第7條,未依規定置備勞工名卡,北府勞條字第1022395305號函,102年8月07日
16,速遞家股份有限公司,勞基法第23條第2項,未依規定置備勞工工資清冊,北府勞條字第10223953051號函,102年8月07日
16,速遞家股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第10223953052號函,102年8月07日
17,新竹物流股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022406091號函,102年8月07日
17,新竹物流股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10221060911號函,102年8月07日
18,佘家孔雀蛤餐廳有限公司,勞基法第23條第2項,未依規定置備勞工工資清冊,北府勞條字第1022399203號函,102年8月12日
18,佘家孔雀蛤餐廳有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10223992031號函,102年8月12日
18,佘家孔雀蛤餐廳有限公司,勞基法第35條,繼續工作四小時未有三十分鐘休息,北府勞條字第10223992032號函,102年8月12日
19,陳忠永(即泰山百合視聽歌唱坊),勞基法第21條第1項,未達基本工資,北府勞條字第1022467814號函,102年8月19日
19,陳忠永(即泰山百合視聽歌唱坊),勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第10224678141號函,102年8月19日
19,陳忠永(即泰山百合視聽歌唱坊),勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,北府勞條字第10224678142號函,102年8月19日
20,泰翔保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022463015號函,102年8月19日
20,泰翔保全股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10224630151號函,102年8月19日
20,泰翔保全股份有限公司,*勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,北府勞條字第10224630152號函,102年8月19日
21,福和生鮮農產有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022468042號函,102年8月19日
22,展圓國際股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022471160號函,102年8月22日
22,展圓國際股份有限公司,勞基法第38條,未依規定給予特別休假,北府勞條字第10224711601號函,102年8月22日
22,展圓國際股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,北府勞條字第10224711602號函,102年8月22日
23,凌華科技股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1022505628號函,102年8月23日
24,南俊國際股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022528832號函,102年8月29日
24,南俊國際股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10225288321號函,102年8月29日
25,承印實業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第10225496651號函,102年8月30日
25,承印實業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10225496652號函,102年8月30日
25,承印實業股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第10225496653號函,102年8月30日
25,承印實業股份有限公司,勞基法第38條,未依規定給予特別休假,北府勞條字第10225496654號函,102年8月30日
