項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
24,賴素美(即祥意書局),勞基法第37條,依規定應放假之日未予休假。,北府勞條字第10215648941號函,102年04月09日
24,賴素美(即祥意書局),勞基法第38條,未依規定給予特別休假。,北府勞條字第10215648942號函,102年04月09日
25,祥友圖書有限公司,勞基法第23條第2項,未依規定置備勞工工資清冊。,北府勞條字第1021564895號函,102年04月09日
25,祥友圖書有限公司,勞基法第37條,依規定應放假之日未予休假。,北府勞條字第10215648951號函,102年04月09日
25,祥友圖書有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第10215648952號函,102年04月09日
26,先進工業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1021596040號函,102年04月11日
27,福和客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1021619207號函,102年04月15日
28,展智業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1021651598號函,102年04月17日
29,統聯汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1021633260號函,102年04月24日
30,敔泰企業有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1021664222號函,102年04月24日
30,敔泰企業有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10216642221號函,102年04月24日
30,敔泰企業有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10216642222號函,102年04月24日
31,台值企業有限公司,勞基法第22條第2項,工資未全額直接給付勞工。,北府勞條字第1021684918號函,102年04月24日
31,台值企業有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第10216849181號函,102年04月24日
31,台值企業有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第10216849182號函,102年04月24日
32,徐啟峰(即樺峰興業商行),勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,北府勞條字第1021698480號函,102年04月25日
33,權詳企業有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1021673848號函,102年04月29日
33,權詳企業有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10216738481號函,102年04月29日
