項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,台灣家樂福股份有限公司北大店,勞基法第24條,延長工作時間未依規定加給工資。,北勞條字第1021594033函,102年4月11日
2,家福股份有限公司板橋店,勞基法第24條,延長工作時間未依規定加給工資。,北勞條字第1021580239函,102年4月11日
3,惠康百貨股份有限公司(頂好)土城店、樹林店,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北勞條字第10214327081函,102年3月21日
4,環球購物中心股份有限公司中和店,勞基法第24條,延長工作時間未依規定加給工資。,北勞條字第1021378583函,102年3月14日
4,環球購物中心股份有限公司中和店,勞基法第32條第2項,延長工作時間超過法令規定。,北勞條字第10213785831函,102年3月14日
