事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期,備註
弘迪工程行,勞基法第30條5項,未置備勞工出勤資料,府勞動字第1016507618號函,101年12月27日,101年勞動派遣專案檢查
佳佑國際開發有限公司,勞基法第30條5項,未置備勞工出勤資料,府勞動字第1016507622號函,101年12月27日,101年勞動派遣專案檢查
橙果企業社,勞基法第30條5項,未置備勞工出勤資料,府勞動字第1026500864號函,102年1月31日,101年勞動派遣專案檢查
