項次,事業單位名稱,違反法令條款,違反內容,處分書文號,處分日期
1,克羅斯國際有限公司,第27條,違反主管機關限期給付工資之命令,府授勞動字第 1010156233 號,101.09.10
2,大眾商業銀行股份有限公司,第24條,延長工作時間未依規定加給工資,府授勞動字第 1010188894 號,101.10.26
3,強訊郵通股份有限公司,勞基法第27條,違反主管機關限期給付工資之命令,府授勞動字第 1020038794 號,102.03.06
