裁罰企業名稱,污染種類,污染地點,污染物,違反法條,裁罰/公告日期,資訊來源
力儂染整廠,水污染,南崁溪桃園市河段,紅色工業廢水,水污染防治法第18條、水污染防治法第7條,101-06-19,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7794
綿隆紡織,水污染,大崛溪,深紅色鹼性廢水(pH值11.3),水污染防治法第7條第1項,101-06-16,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7792
得宸實業公司,水污染,南崁溪上游,暗黑色酸性廢水(pH值4.6),水污染防治法第7條第1項,101-06-16,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7792
桃園縣龍潭鄉廣福豐環保科技公司,廢棄物,,縣外非法棄置且未依法處理廢棄物,,101-06-14,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7787
中油桃園煉油廠,水污染,蘆竹特力屋附近南崁溪河段,廢水油污,水污染防制法第30條第1項第5款,101-06-12,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7774
中興紡織楊梅化纖廠,稽查缺失,,回收水量及放流水量均超出許可核准量，且設有未登載的貯槽,水污染防治法第14條第2項,101-06-04,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7747
龍潭鄉生揚化工原料龍潭廠,稽查缺失,,防制設備洗滌塔之洗滌液pH值不符操作許可之規定,空氣污染防制法第24條第2項,101-06-04,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7747
俊紡染整廠,水污染,樹林溪,高溫廢水(42.8度C，pH值7.0),水污染防治法第7條,101-05-29,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7719
巨讚企業,水污染,社子溪,未取得廢水排放許可卻逕將廢水排入社子溪上游,,101-05-26,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7717
明新企業社,廢棄物,,未領有主管機關核可之廢棄物清除處理文件，卻從事廢棄物處理業務,廢棄物清理法第41條規定,101-05-26,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7717
楊梅幼獅擴大工業區勝華科技幼獅二廠,水污染,社子溪,強鹼乳白色廢水(pH值11.07),水污染防治法第14條,101-05-23,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7692
光美企業,水污染,,高濃度的含鎳廢液,水污染防治法第18條,101-05-19,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7678
揚堡實業,稽查缺失,,廢水處理與登載不符,水污染防治法第18條,101-05-19,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7678
佶鼎科技,稽查缺失,,廢水處理與登載許可不符,水污染防治法第18條,101-05-19,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7678
