檔名,原始網址,截圖網址
101_11-12.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/pub/view/nansenat16/no-LSA/f9618bb0-3fba-4cf9-b8ba-deb2c4a44ccf?locale=zh_TW#b=58467a7a-2e6a-4327-ad9b-3f90780787e1&st=p&n=f9618bb0-3fba-4cf9-b8ba-deb2c4a44ccf
102_01-02.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/shard/s129/sh/7686d53f-c8bb-4dee-b6a6-11996772e2d9/1efa93f89ced518d5028ad5cf6c83cf7
101_09-10.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/view/c498d410-2f17-4fa8-af8f-276a1b7e95f6#st=p
100_07-10.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/view/bbd55520-f407-4b8a-8052-70790910feb4#st=p&n=bbd55520-f407-4b8a-8052-70790910feb4
101_01-02.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/shard/s129/sh/2307de4d-4823-43ed-9fa5-01639fb11bf6/dfa613c79488599e3965d1b9739ef369
101_03-04.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/shard/s129/sh/6a0bfdf1-9254-4bc7-bd4b-8b5074427fe9/f8673c5277852971e23f7e89445a1c92
102_03-04.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/view/7b27cadf-94b1-4639-a900-bc4772edd9be?shard=s129#v=t
101_05-06.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/view/7b27cadf-94b1-4639-a900-bc4772edd9be?shard=s129#v=t
101_07-08.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/view/7b27cadf-94b1-4639-a900-bc4772edd9be?shard=s129#v=t
102_05-06.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/shard/s129/sh/604c967b-8f34-4688-8e98-acf9376bd52c/d454f6b9432ee0e91a00a4993b341ec2
102_07-08.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/shard/s129/sh/9d562947-df16-448a-a06a-9a86d2a9fb8f/1de2e8e2dda45a93b83830e03bb5570b
102_contractor.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/shard/s129/sh/9d562947-df16-448a-a06a-9a86d2a9fb8f/1de2e8e2dda45a93b83830e03bb5570b
102_09-10.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/shard/s129/sh/b0c7ed31-dd0e-430a-b37e-b03d1ca3990a/36e55cde5b565d4cb14f560d151733ec
102_11-12.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/shard/s129/sh/b45f3b30-fd76-44fe-8e11-bc82bb437ad3/3cf916f6ac750a85bb707ded4058a562
103_01-02.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/shard/s129/sh/b84f96c9-6280-4a65-9993-3f6466450450/46e024bdab270573f0473d45825b2b32
103_03-04.csv,http://www.bola.taipei.gov.tw/ct.asp?xItem=41223990&ctNode=62846&mp=116003,https://www.evernote.com/shard/s129/sh/1b24620e-e2e0-4435-8e8e-82c776817c45/ca89377944bb325e34e88f1c7e28ced9
