事業單位名稱,違反法令條款,處分書文號,處分日期
太子汽車工業有限公司,勞基法第22條2項,府勞動字第1010001486號,101年1月10日
鄭靜安即新竹市私立立人童年托兒所,勞基法第22條2項,府勞動字第1010022223號,101年3月9日
