項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,國光汽車客運股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10232462800號,102/04/17
2,高雄汽車客運股份有限公司　,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10232461900號,102/04/17
3,統聯汽車客運股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10232260400號,102/04/15
