項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,嘉辰餐飲有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10232580000號,102/04/22
2,王朝存即君泓食品企業行,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市府勞條字第10232689700號,102/04/23
3,盧長政即永和豆漿店,勞動基準法第30條第5項,未依規定置備勞工出勤記錄表,高市府勞條字第10232072600號,102/04/09
4,王瑞榮即津樂企業社,勞動基準法第30條第5項,未依規定置備勞工出勤記錄表,高市府勞條字第10232479700號,102/04/18
