項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
34,高雄市私立耀群老人長期照顧中心(長期照顧型),勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10230647700號,102/02/23
34,高雄市私立耀群老人長期照顧中心(長期照顧型),勞動基準法第34條第2項,晝夜輪班制更換工作班次未依規定給予休息,高市府勞條字第10230647700號,102/02/23
35,張貯翔即三田食堂,勞動基準法第7條,未依規定置備勞工名卡。,高市府勞條字第10230808100號,102/03/01
35,張貯翔即三田食堂,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市府勞條字第10230808100號,102/03/01
36,匯頂電腦股份有限公司,勞動基準法第16條,未依規定期間預告。,高市府勞條字第10230970400號,102/03/11
36,匯頂電腦股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市府勞條字第10230970400號,102/03/11
37,中友船舶貨物裝卸承攬股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市府勞條字第10231207600號,102/03/14
37,中友船舶貨物裝卸承攬股份有限公司,勞動基準法第34條第2項,晝夜輪班制更換工作班次未依規定給予休息,高市府勞條字第10231207600號,102/03/14
38,強訊郵通股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市府勞條字第10231331500號,102/03/14
38,強訊郵通股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤記錄表,高市府勞條字第10231331500號,102/03/14
39,漢衛公寓大廈管理維護股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市府勞條字第10231182600號,102/03/25
