項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,鼎旺餐飲股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10332899700號,103/05/13
2,沙瓦那有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10332668500號,103/05/13
3,饗賓餐旅事業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10332733600號,103/05/07
3,饗賓餐旅事業股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10332733600號,103/05/07
