項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,嘉賀保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10232251100號,102/05/09
1,嘉賀保全股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10232251100號,102/05/09
1,嘉賀保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10232251100號,102/05/09
1,嘉賀保全股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10233278500號,102/06/20
1,嘉賀保全股份有限公司,勞動基準法第38條,未依規定給予特別休假。,高市勞條字第10233278500號,102/06/20
2,日通欣運股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市府勞條字第10232208700號,102/04/11
3,南山人壽保險股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市府勞條字第10231848800號,102/04/19
4,中友船舶貨物裝卸承攬股份有限公司,勞動基準法第34條第2項,晝夜輪班制更換工作班次未依規定給予休息。,高市勞條字第10233774000號,102/06/24
4,中友船舶貨物裝卸承攬股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10233774000號,102/06/24
5,協記保全股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市府勞條字第10231641400號,102/04/15
5,協記保全股份有限公司,勞動基準法第34條第2項,晝夜輪班制更換工作班次未依規定給予休息。,高市府勞條字第10231641400號,102/04/15
5,協記保全股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市府勞條字第10231641400號,102/04/15
6,方隆沖床工業有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市府勞條字第10231900500號,102/04/18
6,方隆沖床工業有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市府勞條字第10231900500號,102/04/18
6,方隆沖床工業有限公司,勞動基準法第59條,未依規定給予勞工職業災害補償。,高市府勞條字第10231900500號,102/04/18
7,高都遊覽車客運有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10232644900號,102/05/08
7,高都遊覽車客運有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10232644900號,102/05/08
7,高都遊覽車客運有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10232644900號,102/05/08
8,晶旺生技股份有限公司,勞動基準法第7條,未依規定置備勞工名卡。,高市勞條字第10232550000號,102/05/21
8,晶旺生技股份有限公司,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市勞條字第10232550000號,102/05/21
8,晶旺生技股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10232550000號,102/05/21
9,豐譽工程有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10232766800號,102/05/27
9,豐譽工程有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10232766800號,102/05/27
9,豐譽工程有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10232766800號,102/05/27
10,心識遊覽車有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10234159800號,102/07/02
11,蔡幸妙即以利雅葳美容美髮坊,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市府勞條字第10231707200號,102/04/03
11,蔡幸妙即以利雅葳美容美髮坊,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市府勞條字第10231707200號,102/04/03
12,金達通運有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10234159600號,102/07/02
13,穩得工業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10231704200號,102/04/08
14,台灣牛角電影有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市府勞條字第10231684700號,102/04/11
14,台灣牛角電影有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10231684700號,102/04/11
15,溫有諒醫院,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10231731600號,102/04/15
15,溫有諒醫院,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市府勞條字第10231731600號,102/04/15
16,勝美興業股份有限公司,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市府勞條字第10232022300號,102/04/18
16,勝美興業股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市府勞條字第10232022300號,102/04/18
17,久陽精密股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10231496300號,102/04/24
18,永順公寓大廈管理維護公司,勞動基準法第21條第1項,未達基本工資。,高市府勞條字第10232532200號,102/04/26
18,永順公寓大廈管理維護公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市府勞條字第10232532200號,102/04/26
19,雷隆程即馬上停停車場企業社,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市府勞條字第10232715600號,102/05/01
19,雷隆程即馬上停停車場企業社,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市府勞條字第10232715600號,102/05/01
20,第一伸銅科技股份有限公司,勞動基準法第21條第1項,未達基本工資。,高市府勞條字第10232314100號,102/05/01
20,第一伸銅科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10232314100號,102/05/01
21,李峻葑即黑白泡泡便利茶飲茄萣店,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市勞條字第10232955400號,102/05/09
21,李峻葑即黑白泡泡便利茶飲茄萣店,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10232955400號,102/05/09
22,旗峰交通股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10232333900號,102/05/09
22,旗峰交通股份有限公司,勞動基準法第59條,未依規定給予勞工職業災害補償。,高市勞條字第10232333900號,102/05/09
23,宏王企業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10232393300號,102/05/13
23,宏王企業股份有限公司,勞動基準法第38條,未依規定給予特別休假。,高市勞條字第10232393300號,102/05/13
24,林敦偉即佳音牙醫診所,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10232801900號,102/05/21
24,林敦偉即佳音牙醫診所,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10232801900號,102/05/21
25,如記食品有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10233048100號,102/05/21
26,美佳憑企業有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10233295100號,102/05/23
26,美佳憑企業有限公司,勞動基準法第70條第1項,工作規則未依規定報備並公告揭示。,高市勞條字第10233295100號,102/05/23
27,米提食品有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10233435100號,102/06/06
27,米提食品有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10233435100號,102/06/06
28,長麒金屬工業股份有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10233187700號,102/06/11
28,長麒金屬工業股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10233187700號,102/06/11
29,威合公寓大廈管理維護股份有限公司,勞動基準法第9條第1項,違反規定訂定定期契約。,高市勞條字第10233358500號,102/06/11
29,威合公寓大廈管理維護股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10233358500號,102/06/11
