項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,統聯汽車客運股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10332343900號,103/04/21
2,國光汽車客運股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10332402000號,103/04/23
3,中南汽車客運股份有限公司,勞動基準法第34條第2項,晝夜輪班制更換工作班次未依規定給予休息,高市勞條字第10332333100號,103/05/07
