事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期,備註
燦坤實業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020023524號,1020129,重複違反勞基法第24條
桃園汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020026633號,1020129,行政院勞工委員會北區勞動檢查所專案檢查(國道客運駕駛員工時專案檢查計畫)
艾肯管理顧問有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020034140號,1020206,重複違反勞基法第32條第2項
亞通汽車客運股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020023748號,1020125,1.自辦專案檢查 2.重複違反勞基法第24條
三商行股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字1020014835號,1020115,本府自辦專案檢查
祥儀企業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020016594號,1020118,重複違反勞基法第24條
中華航空股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020021539號,1020123,重複違反勞基法第32條第2項
茂信保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020047980號,1020227,重複違反勞基法第36條
捷邦精密股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020037058號,1020208,重複違反勞基法第32條第2項
定穎電子股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020043144號,1020222,重複違反勞基法第32條第2項
來電馬書局,勞基法第21條第1項,未達基本工資,102年府勞檢字1020043153號,1020222,本府自辦專案檢查
台灣國際航電股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字1020046442號,1020227,重複違反勞基法第30條第5項
同欣電子工業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020018292號,1020121,重複違反勞基法第32條第2項
復盛應用科技股份有限公司一廠,勞基法第32條第2項、第36條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,102年府勞檢字1020015487號102年府勞檢字10200154871號,1020117, 重複違反勞基法第32條第2項、第36條
日長保全股份有限公司,勞基法第24條、第30條第5項,1.延長工作時間未依規定加給工資2.未依規定置備勞工出勤紀錄表,102年府勞檢字10200226511號102年府勞檢字1020022651號,1020201,重複違反勞基法第24條、第30條第5項
鼎州營造股份有限公司,勞基法第22條第2項,工資未全額給付給勞工,102年府勞檢字1020043440號,1020222,重複違反勞基法第22條第2項
