項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,祥義玻璃股份有限公司,勞基法第32條第2項、第24條,1.延長工作時間超過法令規定,102年府勞檢字10201485081號,102/06/28.
1,祥義玻璃股份有限公司,勞基法第32條第2項、第24條,2.延長工作時間未依規定加給工資,102年府勞檢字1020148508號
2,金車物流股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020152297號,102/06/24.
3,中壢汽車客運股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020152987號,102/06/24.
4,信一預拌混凝土股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020151858號,102/06/21.
5,精材科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020150557號,102/06/20.
6,亞通汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020144687號,102/06/17.
7,宏達國際電子股份有限公司,勞基法第24條、第32條第2項,1.延長工作時間未依規定加給工資,102年府勞檢字1020112172號,102/5/13.
7,宏達國際電子股份有限公司,勞基法第24條、第32條第2項,2.延長工作時間超過法令規定,102年府勞檢字1020139476號,102/06/10.
8,日月光半導體製造股份有限公司中壢分公司,勞基法第36條、第32條第2項,1.每七日中未有一日之休息作為例假,102年府勞檢字1020138515號,102/06/06.
8,日月光半導體製造股份有限公司中壢分公司,勞基法第36條、第32條第2項,2.延長工作時間超過法令規定,102年府勞檢字1020123506號,102/05/22
9,國光汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020136076號,102/06/04.
10,華通電腦股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020135501號,102/06/04.
11,金像電子股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020132337號,102/05/30.
12,旭輝針織有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020131070號,102/05/29.
13,杏一醫療用品股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,102年府勞檢字1020130705號,102/05/29.
14,精磁科技股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020128065號,102/05/27.
15,中環股份有限公司,勞基法第30條第1項,正常工作時間超過法令規定,102年府勞檢字1020122870號,102/05/21.
16,台全電機股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020123175號,102/05/21.
17,茂晶國際能源股份有限公司,勞基法第23條第1項,工資未定期給付勞工,102年府勞檢字1020120753號,102/05/20.
18,亨通國際開發股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020120148號,102/05/17.
19,信東生技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10201174891號,102/05/15.
20,祥儀企業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020117456號,102/05/15.
21,台硝股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020112838號,102/05/09.
22,惠康百貨股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020111145號,102/05/08.
23,勤讚保全股份有限公司,勞基法第36條、第70條、第32條第2項、第30條第5項、第23條第2項、第24條,1.每七日中未有一日之休息作為例假,102年府勞檢字10201086765號,102/05/03.
23,勤讚保全股份有限公司,勞基法第36條、第70條、第32條第2項、第30條第5項、第23條第2項、第24條,2.工作規則未依規定報備並公開揭示,102年府勞檢字10201086764號,102/06/28
23,勤讚保全股份有限公司,勞基法第36條、第70條、第32條第2項、第30條第5項、第23條第2項、第24條,3.延長工作時間超過法令規定,102年府勞檢字10201086763號,102/6/28
23,勤讚保全股份有限公司,勞基法第36條、第70條、第32條第2項、第30條第5項、第23條第2項、第24條,4.未依規定置備勞工出勤紀錄表,102年府勞檢字10201086762號,102/6/28
