項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期,備註,
1,人人人力資源有限公司,勞動基準法39條,每七日中未有一日之休息做為例假,103年府勞檢字1030052007號,103/03/11,
2,大潤發流通事業股份有限公司八德分公司,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字10300875791號,103/04/17,本府自辦專案檢查(臨時專案),
3,介面光電股份有限公司,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字1030099593號,103/04/30,
4,日玖人力資源顧問有限公司,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字1030091975號,103/04/25,本府自辦專案檢查(人力派遣業專案),
5,日長保全股份有限公司,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字1030086124號,103/04/16,本府自辦專案檢查(保全業專案),
6,日陞企管顧問有限公司,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字1030064634號,103/03/22,本府自辦專案檢查(人力派遣業專案),
7,永安警保全股份有限公司,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字1030099542號,103/04/29,本府自辦專案檢查(保全業專案),
8,生活保全股份有限公司,勞動基準法39條,每七日中未有一日之休息做為例假,103年府勞檢字1030077903號,103/04/17,本府自辦專案檢查(保全業專案),
9,合正環境清潔服務有限公司,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字1030091693號,103/04/21,本府自辦專案檢查(大量解雇預警專案),
10,回味天香餐飲管理顧問社,勞動基準法21條1項,未達基本工資,103年府勞檢字1030063670號,103/03/21,本府自辦專案檢查(臨時專案),
11,佳群人力資源有限公司,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字1030051130號,103/03/07,本府自辦專案檢查(人力派遣業專案),
12,勇捷保全股份有限公司,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字1030091381號,103/04/21,本府自辦專案檢查(保全業專案),
13,宥安保全股份有限公司,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字10300941051號,103/04/24,本府自辦專案檢查(保全業專案),
13,宥安保全股份有限公司,勞動基準法30條5項,未依規定置備勞工出勤紀錄表,103年府勞檢字1030094105號,103/04/24,
14,泰豐輪胎股份有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030045980號,103/03/10,
15,啟銘機械股份有限公司,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字1030072285號,103/04/01,
16,國光汽車客運股份有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字10300847331號,103/04/23,
17,祥欣保全股份有限公司,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字1030083962號,103/04/14,本府自辦專案檢查(保全業專案),
18,速配人力資源顧問有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030057388號,103/03/14,本府自辦專案檢查(人力派遣業專案),
19,富通保全股份有限公司,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字10300941121號,103/04/24,本府自辦專案檢查(保全業專案),
19,富通保全股份有限公司,勞動基準法30條第5項,未依規定置備勞工出勤紀錄表,103年府勞檢字1030094112號,103/04/24,
20,華上光電股份有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030098391號,103/04/30,
21,華強保全股份有限公司,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字10300995561號,103/04/29,本府自辦專案檢查(保全業專案),
21,華強保全股份有限公司,勞動基準法30條5項,未依規定置備勞工出勤紀錄表,103年府勞檢字1030099556號,103/04/29,
22,華通電腦股份有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030067174號,103/03/26,
23,匯林企業有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030063169號,103/03/20,本府自辦專案檢查(人力派遣業專案),
24,經國消防工程顧問股份有限公司,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字1030077507號,103/04/17,
25,萬寶華企業管理顧問有限公司,勞動基準法30條5項,未依規定置備勞工出勤紀錄表,103年府勞檢字1030051176號,103/03/10,本府自辦專案檢查(人力派遣業專案),
26,嘉里大榮物流股份有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字10300534941號,103/03/11,
26,嘉里大榮物流股份有限公司,勞動基準法30條5項,未依規定置備勞工出勤紀錄表,103年府勞檢字1030053494號,103/03/11,
27,燁鋒輕合金股份有限公司,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字1030046333號,103/03/05,
28,寶興盛有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030066083號,103/03/25,本府自辦專案檢查(人力派遣業專案),
29,清晰科技股份有限公司,勞基法第30條第1項,正常工作時間超過法令規定,102年府勞檢字10201176084號,102/05/15,
30,櫳騏物業管理顧問有限公司,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020230961號,102/09/17,
