項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期,
1,位速科技股份有限公司楊梅廠,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020065515號,1020315
2,義美食品股份有限公司龍潭廠,勞基法第32條第2項,1.延長工作時間超過法令規定,102年府勞檢字1020069938號,1020322
2,義美食品股份有限公司龍潭廠,勞基法第36條,2.每七日中未有一日之休息作為例假,102年府勞檢字10200949062號,1020420
3,中華郵政股份有限公司桃園郵局,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字1020084464號,1020411
4,桃園汽車客運股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020080080號,1020403
5,桃園航勤股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,102年府勞檢字1020087809號,1020412
6,登瑞國際開發股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020078728號,1020401
7,中環股份有限公司林口二廠,勞基法第24條、第36條,1.延長工作時間未依規定加給工資、2.每七日中未有一日之休息作為例假,102年府勞檢字1020099550號、102年府勞檢字10200995501號,1020423
8,華通電腦股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020071602號,1020325
9,台灣新光保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020074156號,1020327
10,根森保全股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,102年府勞檢字1020072683號,1020325
11,鉅華保全股份有限公司,勞基法第37條,依規定應放假之日未予休假,102年府勞檢字1020072806號,1020326
12,日長保全股份有限公司,勞基法第24條、第30條第5項,1.延長工作時間未依規定加給工資、2.未依規定置備勞工出勤紀錄表,102年府勞檢字1020055308號、102年府勞檢字10200553081號,1020308
13,昌霖保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020061634號,1020314
14,家和保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020065809號,1020319
