事業單位/事業主,違反法令條款,違反法規內容,處分書文號,處分日期,備註
鐘驊機電技術顧問股份有限公司,勞動基準法第24條、第36條,1.延長工作時間未依規定加給工資 2.每7日中未有1日之休息作為例假,府勞條字第1010617500號、府勞條字第1020049144號、府勞條字第1010617500號、府勞條字第1020049144號,101年7月31日、102年1月28日、101年7月31日、102年1月28日,重複違反同一法條
旗勝科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1010233091號、府勞條字第1010370072號、府勞條字第1010595792號、府勞條字第1010691218號、府勞條字第1010791783號、府勞條字第1010842518號、府勞條字第10101081614號、府勞條字第1020177165,101年5月11日、101年7月18日、101年8月23日、101年9月26日、101年10月11日、101年12月24日、102年3月8日,重複違反同一法條
和欣汽車客運股份有限公司,勞動基準法第35條,繼續工作4小時未有30分鐘休息,府勞條字第1010982190號、府勞條字第1020220185號,101年11月26日、102年3月13日,重複違反同一法條
宏遠興業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1010852748號、府勞條字第1020226451號,101年10月12日、102年3月18日,重複違反同一法條
溫士頓醫藥股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1011044937號、府勞條字第1020053521號,101年12月12日、102年1月17日,重複違反同一法條
