公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
106/02/24,105/12/01,北市勞動字第10542745200號,臺北教師會館,陳柏州,勞動基準法第30條第1項;勞動基準法第36條;勞動基準法第37條;勞動基準法第38條,正常工時超過法令規定;每七日中未有一日之休息作為例假;依規定應放假之日未予休假;未依規定給予特別休假,
106/02/24,105/12/01,北市勞動字第10542744500號,鄭育昇(即丁金小吃店),,勞動基準法第7條第1項;勞動基準法第23條第2項;勞動基準法第30條第5項,未按規定置備勞工名卡;未置備薪資清冊;未依規定置備勞工出勤紀錄,
106/02/24,105/12/01,北市勞動字第10542749900號,竹間智能科技有限公司,簡仁賢,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
106/02/24,105/12/01,北市勞動字第10542772100號,台灣赫斯特媒體股份有限公司,霍思明,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第39條,延長工作時間未依規定加給工資;延長工作時間超過法令規定;假日工資未給或於休假日工作未依規定加給工資,
106/02/24,105/12/01,北市勞動字第10542769700號,喬保大樓管理顧問有限公司,吳金旺,勞動基準法第30條第1項,正常工時超過法令規定,
106/02/24,105/12/01,北市勞動字第10542796500號,朝新室內裝修有限公司,李淑蓉,勞動基準法第32條第1項,延長勞工工作時間未經工會或勞資會議同意,
106/02/24,105/12/01,北市勞動字第10542796400號,香港商夢廣場餐飲有限公司,藤本秀豊,勞動基準法第80條,拒絕、規避或阻撓勞工檢查員依法執行職務,
106/02/24,105/12/01,北市勞動字第10543081600號,國立臺灣大學醫學院附設醫院,何弘能,勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第32條第2項,延長工作時間未依規定加給工資;未依規定置備勞工出勤紀錄;延長工作時間超過法令規定,
106/02/24,105/12/01,北市勞動字第10536549300號,大同股份有限公司,林蔚山,勞動基準法第56條第2項,未於每年年度終了前，估算勞工退休準備金專戶餘額並足額提撥,
106/02/24,105/12/01,北市勞動字第10543631200號,瑞�Q食品有限公司,楊宗烈,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
106/02/24,105/12/02,北市勞動字第10542984200號,台灣開利股份有限公司,廖居政,勞動基準法第36條,每七日中未有一日之休息作為例假,
106/02/24,105/12/02,北市勞動字第10542815900號,僑原企業有限公司,周德裕,勞動基準法第22條第2項;勞動基準法第30條第6項,工資未全額給付給勞工;出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
106/02/24,105/12/02,北市勞動字第10542821700號,樂到家國際娛樂股份有限公司,朱漢光,勞動基準法第38條,未依規定給予特別休假,
106/02/24,105/12/02,北市勞動字第10544270400號,澳盛（台灣）商業銀行股份有限公司,布樂達,勞動基準法第24條,延長工作時間未依規定加給工資,
106/02/24,105/12/02,北市勞動字第10542761000號,長鴻營造股份有限公司,吳啟章,勞動基準法第17條第2項,資遣費未於終止勞動契約三十日內發給,
106/02/24,105/12/05,北市勞動字第10535540100號,合作金庫人壽保險股份有限公司,杜振遠,勞動基準法第24條;勞動基準法第30條第6項,延長工作時間未依規定加給工資;出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
106/02/24,105/12/05,北市勞動字第10535540000號,財團法人台灣敦睦聯誼會所屬作業組織圓山大飯店,李建榮,勞動基準法第30條第1項,正常工時超過法令規定,
106/02/24,105/12/05,北市勞動字第10542801300號,理律法律事務所,陳長文,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
106/02/24,105/12/05,北市勞動字第10542780100號,台南擔仔麵股份有限公司,周文保,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第43條,延長工作時間未依規定加給工資;延長工作時間超過法令規定;勞工請病假期間未依規定給付工資,
106/02/24,105/12/05,北市勞動字第10542819100號,飛映數位有限公司,顏武雄,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
