公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
104/08/05,103/12/01,府勞動字第10336722800號,政大清境管理委員會,陳虹宇,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/08/05,103/12/19,府勞動字第10337021800號,東南遊覽汽車股份有限公司,黃正一,勞動基準法第36條,每七日中未有一日之休息作為例假。,
104/08/05,104/05/26,府勞動字第10432158800號,塞席爾商瓦法奇朵餐飲有限公司台灣分公司,張郡霖,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,
104/08/05,104/05/26,府勞動字第10432189100號,聯傑資訊科技股份有限公司,黃桂川,勞動基準法第22條第2項,工資未全額直接給付勞工。,
104/08/05,104/05/26,府勞動字第10432263200號,社團法人台灣國際創意及科技協會,楊泰順,勞動基準法第22條第2項,工資未全額直接給付勞工。,
104/08/05,104/05/27,府勞動字第10432261900號,麥迪威股份有限公司,崔亞蕾,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/08/05,104/05/27,府勞動字第10433284900號,同春紙品彩印有限公司,王春財,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/08/05,104/05/29,府勞動字第10432170700號,沛榮國際股份有限公司,王素貞,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/08/05,104/05/29,府勞動字第10432271000號,翰吉科技有限公司,范瓊丹,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/08/05,104/05/29,府勞動字第10432276400號,創世紀國際旅行社有限公司,邱華僑,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/08/05,104/05/29,府勞動字第10432132700號,東京都保全股份有限公司,吉田裕幸,勞動基準法第32條第2項,延長工作時間超過法令規定。,
104/08/05,104/06/01,府勞動字第10432304000號,椰子林企業股份有限公司,王中儀,勞動基準法第32條第1項,延長工作時間不符法定要件。,
104/08/05,104/06/01,府勞動字第10432271300號,台灣高速鐵路股份有限公司,劉維琪,勞動基準法第35條,繼續工作4小時，未給予至少應有30分鐘休息。,
104/08/05,104/06/02,府勞動字第10433371000號,林旺枝（即昶和錦邊趖小吃店）,,勞動基準法第7條第1項,未置備勞工名卡及工資清冊,
104/08/05,104/06/02,府勞動字第10432289500號,雲朗觀光股份有限公司,辜懷如,勞動基準法第32條第2項,延長工作時間超過法令規定。,
104/08/05,104/06/02,府勞動字第10433556300號,菲尼克斯有限公司,馬思曼,勞動基準法第24條,延長工作時間未依規定加給工資。,
