事業單位名稱,違反勞動基準法條款,違反法規內容,發文字號,處分日期
興麗安有限公司,勞基法第24條、第32條第2項,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定,府勞動字第10040607700號,100年12月12日
彩棠傳播有限公司,勞基法第22條第2項、第23條第2項、第30條第5項,1.工資未全額直接給付勞工 2.未依規定置備勞工工資清冊 3.未依規定置備勞工出勤紀錄表,府勞動字第10136122500號,101年8月3日
欣奇科技有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府勞動字第10140555200號,102年1月2日
美德耐股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第10140974400號,102年1月2日
廣興機電股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字第10140562100號,102年1月2日
廣沅國際企業有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府勞動字第10141276500號,102年1月4日
優仕紳企業有限公司,勞基法第32條第1項、第32條第2項、第36條、第37條,1.延長工作時間不符法定要件 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假 4.依規定應放假之日未予休假,府勞動字第10140587400號,102年1月7日
國聯保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,府勞動字第10140724200號,102年1月8日
富邦媒體科技股份有限公司,勞基法第9條第1項、第24條,1.違反規定訂定定期契約 2.延長工作時間未依規定加給工資,府勞動字第10230011300號,102年1月10日
諸葛堂股份有限公司,勞基法第9條第1項,違反規定訂定定期契約,府勞動字第10230422900號,102年1月14日
英屬維爾京群島商湯米席爾菲格股份有限公司台灣分公司,勞基法第24條、第32條第2項,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定,府勞動字第10140852700號,102年1月15日
新光三越百貨股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字第10230214600號,102年1月18日
煒晟國際股份有限公司,勞基法第30條第1項、第32條第2項、第36條,1.正常工作時間超過法令規定 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假,府勞動字第10230200300號,102年1月18日
馹昇企業有限公司,勞基法第16條第3項、第22條第2項,1.未依規定給付預告工資 2.工資未全額直接給付勞工,府勞動字第10230212800號,102年1月18日
大南汽車股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字第10230475300號,102年1月21日
美商利惠國際有限公司,勞基法第30條第5項、第32條第2項、第36條,1.未依規定置備勞工出勤紀錄表 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假,府勞動字第10141067600號,102年1月21日
中國電視事業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字第10230018100號,102年1月22日
陳志威(即豪冶餐飲店),勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府勞動字第10230216600號,102年1月23日
三重汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字第10230432200號,102年1月24日
蔡福來(即歡樂壹佰點小吃店),勞基法第22條第2項,工資未全額直接給付勞工,府勞動字第10230021800號,102年1月28日
揚霆國際物業管理顧問股份有限公司,勞基法第30條第5項、第37條、第30條第1項,1.未依規定置備勞工出勤紀錄表 2.依規定應放假之日未予休假 3.正常工作時間超過法令規定,府勞動字第10230224000號,102年1月30日
睿采數位科技股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府勞動字第10230224100號,102年1月31日
美商箭橋通訊股份有限公司,勞基法第21條第1項、第22條第2項、第23條第2項、第30條第5項,1.未達基本工資 2.工資未全額直接給付勞工 3.未依規定置備勞工工資清冊 4.未依規定置備勞工出勤紀錄表,府勞動字第10230439600號,102年2月1日
圓盛通信工程有限公司,勞基法第30條第5項、第38條、第39條,1.未依規定置備勞工出勤紀錄表 2.未依規定給予特別休假 3.假日工資未給或於休假日工作未依規定加給工資,府勞動字第10230031200號,102年2月1日
群饌餐飲股份有限公司,勞基法第30條第1項、第36條、第37條,1.正常工作時間超過法令規定 2.每七日中未有一日之休息作為例假 3.依規定應放假之日未予休假,府勞動字第10230586500號,102年2月4日
星宏國際有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府勞動字第10230465200號,102年2月4日
和泰汽車股份有限公司,勞基法第30條第5項、第32條第2項,1.未依規定置備勞工出勤紀錄表 2.延長工作時間超過法令規定,府勞動字第10230586300號,102年2月5日
茱蒂婚紗攝影事業有限公司,勞基法第22條第2項、第24條、第30條第1項、第32條第2項、第36條、第37條、第38條,1.工資未全額直接給付勞工 2.延長工作時間未依規定加給工資 3.正常工作時間超過法令規定 4.延長工作時間超過法令規定 5.每七日中未有一日之休息作為例假 6.依規定應放假之日未予休假 7.未依規定給予特別休假,府勞動字第10230586400號,102年2月5日
強訊郵通股份有限公司,勞基法第23條第1項,工資未定期給付勞工,府勞動字第10230478100號,102年2月5日
台灣博柏利股份有限公司,勞基法第32條第2項、第36條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,府勞動字第10230223900號,102年2月21日
行動羽翼股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府勞動字第10230548100號,102年2月22日
蘇菲雅婚紗攝影有限公司,勞基法第24條、第32條第2項、第36條、第37條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假 4.依規定應放假之日未予休假,府勞動字第10231057400號,102年2月25日
柯瑞良,勞基法第7條、第23條第2項、第30條第5項,1.未依規定置備勞工名卡 2.未依規定置備勞工工資清冊 3.未依規定置備勞工出勤紀錄表,府勞動字第10231015900號,102年2月26日
