公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
106/01/26,105/11/01,北市勞動字第10535521200號,捷幼實業股份有限公司,段雲雲,勞動基準法第24條,延長工作時間未依規定加給工資,
106/01/26,105/11/01,北市勞動字第10535511000號,喜蜜國際企業股份有限公司,呂世玉,勞動基準法第24條,延長工作時間未依規定加給工資,
106/01/26,105/11/01,北市勞動字第10535486200號,晟泰公寓大廈管理維護有限公司,林玉玲,勞動基準法第30條第6項;勞動基準法第32條第2項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止;延長工作時間超過法令規定,
106/01/26,105/11/01,北市勞動字第10535510400號,大躍科技有限公司,卓恆陞,勞動基準法第24條,延長工作時間未依規定加給工資,
106/01/26,105/11/01,北市勞動字第10535475400號,神達電腦股份有限公司,苗豐強,勞動基準法第24條,延長工作時間未依規定加給工資,
106/01/26,105/11/01,北市勞動字第10535506900號,無限映像製作有限公司,林炳煌,勞動基準法第22條第2項;勞動基準法第38條,工資未全額給付給勞工;未依規定給予特別休假,
106/01/26,105/11/01,北市勞動字第10538055400號,中國廣播股份有限公司,趙少康,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資;延長工作時間超過法令規定,
106/01/26,105/11/01,北市勞動字第10535476100號,阿正廚坊有限公司,黃艷萍,勞動基準法第36條,每七日中未有一日之休息作為例假,
106/01/26,105/11/02,北市勞動字第10533348900號,江素梅(即通化眼鏡行),,勞動基準法第30條第1項;勞動基準法第37條;勞動基準法第38條,正常工時超過法令規定;依規定應放假之日未予休假;未依規定給予特別休假,
106/01/26,105/11/02,北市勞動字第10535492900號,昭瀚股份有限公司,閻柏廷,勞動基準法第16條第3項;勞動基準法第22條第2項;勞動基準法第24條,雇主未依規定期間預告而終止契約或未給付預告期間之工資;工資未全額給付給勞工;延長工作時間未依規定加給工資,
106/01/26,105/11/02,北市勞動字第10535498700號,陳志傑(即八德眼鏡行),,勞動基準法第30條第1項;勞動基準法第37條;勞動基準法第38條,正常工時超過法令規定;依規定應放假之日未予休假;未依規定給予特別休假,
106/01/26,105/11/02,北市勞動字第10535495100號,宜佳國際有限公司,何如芸,勞動基準法第24條,延長工作時間未依規定加給工資,
106/01/26,105/11/02,北市勞動字第10535499200號,世豪通運有限公司,吳惠姿,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,
