公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
104/04/08,103/06/23,府勞動字第10333790900號,中華郵政股份有限公司,翁文祺,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,
104/04/08,103/10/06,府勞動字第10334912400號,匯僑設計興業有限公司,王秀卿,勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第32條第2項,延長工作時間未依規定加給工資。;未依規定置備勞工出勤紀錄表。;延長工作時間超過法令規定。,
104/04/08,104/02/02,府勞動字第10338201100號,法朋有限公司,李依錫,勞動基準法第32條第2項;勞動基準法第24條;勞動基準法第39條,延長工作時間超過法令規定。;延長工作時間未依規定加給工資。;假日工資未給或於休假日工作未依規定加給工資。,
104/04/08,104/02/02,府勞動字第10338335900號,福來許生活企業股份有限公司,阮婷憶,勞動基準法第22條第2項;勞動基準法第32條第2項;;勞動基準法第24條;勞動基準法第32條第1項,工資未全額直接給付勞工。;延長工作時間超過法令規定。;延長工作時間未依規定加給工資。;延長工作時間不符法定要件。,
104/04/08,104/02/03,府勞動字第10338361300號,台灣富士全錄股份有限公司,本多雅,勞動基準法第32條第1項,延長工作時間不符法定要件。,
104/04/08,104/02/02,府勞動字第10338635900號,上海商業儲蓄銀行股份有限公司,榮鴻慶,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/04/08,104/02/03,府勞動字第10338754600號,鄭乃源（即聯安診所）,,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,
104/04/08,104/02/04,府勞動字第10338630900號,全球保全股份有限公司,汪德源,勞動基準法第36條;勞動基準法第32條第2項;勞動基準法第24條,每七日中未有一日之休息作為例假。;延長工作時間超過法令規定。;延長工作時間未依規定加給工資。,
104/04/08,104/02/04,府勞動字第10338795400號,艾偉塔科技有限公司,張琇智,勞動基準法第27條,限期令其改善仍未改善。,
104/04/08,104/02/06,府勞動字第10338760300號,華國大飯店股份有限公司,邱志瀛,勞動基準法第32條第2項,延長工作時間超過法令規定。,
104/04/08,104/02/11,府勞動字第10338635200號,伯朗咖啡股份有限公司,李玉鼎,勞動基準法第30條第1項,正常工作時間超過法令規定。,
104/04/08,104/02/13,府勞動字第10430020100號,少帥禪園股份有限公司,陳彥勳,勞動基準法第30條第1項,正常工作時間超過法令規定。,
104/04/08,104/02/13,府勞動字第10339301200號,全家國際餐飲股份有限公司,張仁敦,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/04/08,104/02/16,府勞動字第10338226400號,誠品生活股份有限公司,吳清友,勞動基準法第32條第2項;勞動基準法第24條,延長工作時間超過法令規定。;延長工作時間未依規定加給工資。,
104/04/08,104/02/25,府勞動字第10430034600號,楊善甫,,勞動基準法第22條第2項;勞動基準法第30條第5項,工資未全額直接給付勞工。;未依規定置備勞工出勤紀錄表。,
104/04/08,104/02/25,府勞動字第10430065200號,尊彩國際藝術有限公司,余彥良,勞動基準法第32條第2項;勞動基準法第24條,延長工作時間超過法令規定。;延長工作時間未依規定加給工資。,
104/04/08,104/02/25,府勞動字第10430065700號,一同營造股份有限公司,廉永福,勞動基準法第28條第2項,未依法繳納工資墊償基金。,
104/04/08,104/02/25,府勞動字第10338827000號,飛弘通運有限公司,朱孝宗,勞動基準法第24條;勞動基準法第38條,延長工作時間未依規定加給工資。;未依規定給予特別休假。,
104/04/08,104/02/25,府勞動字第10338974500號,世平興業股份有限公司,張蓉崗,勞動基準法第30條第5項;勞動基準法第38條,未依規定置備勞工出勤紀錄表。;未依規定給予特別休假。,
104/04/08,104/02/25,府勞動字第10338974300號,台北花園大酒店股份有限公司,張茂松,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/04/08,104/02/26,府勞動字第10430031200號,覺旅股份有限公司,葉建忠,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,勞動部104年2月11日勞動法訴字第1030021596號訴願駁回
104/04/08,104/02/26,府勞動字第10338247700號,陳怡誠（即炙多星小吃店）,,勞動基準法第30條第1項;勞動基準法第36條;勞動基準法第49條第1項,正常工作時間超過法令規定。;每七日中未有一日之休息作為例假。;未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,勞動部104年2月10日勞動法訴字第1030022741號訴願駁回

