公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
105/12/30,105/08/16 ,北市勞動字第10530575700號,林倍聖(即臺北市私立太和騰文理短期補習班),,勞動基準法第9條第1項;勞動基準法第38條,以定期契約雇用勞工從事繼續性工作;未依規定給予特別休假,
105/12/30,105/10/03,北市勞動字第10538189600號,精英人力資源股份有限公司,劉匡華,勞動基準法第32條第2項,延長工作時間超過法令規定,
105/12/30,105/10/03,北市勞動字第10535411800號,趙懿婷(即超牛美食館),,勞動基準法第36條,每七日中未有一日之休息作為例假,
105/12/30,105/10/03,北市勞動字第10530354900號,先勢公關顧問股份有限公司,楊忠翰,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條,延長工作時間未依規定加給工資;延長工作時間超過法令規定;每七日中未有一日之休息作為例假,
105/12/30,105/10/03,北市勞動字第10530353600號,台灣翔太食品股份有限公司,須藤陽介,勞動基準法第30條第1項;勞動基準法第35條;勞動基準法第37條,正常工時超過法令規定;勞工繼續工作四小時未給予至少三十分鐘之休息;依規定應放假之日未予休假,
105/12/30,105/10/03,北市勞動字第10535457700號,麗嬰房股份有限公司,王國城,勞動基準法第36條,每七日中未有一日之休息作為例假,
105/12/30,105/10/03,北市勞動字第10530439100號,楊詠馨(即楓采企業社),,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
105/12/30,105/10/03,北市勞動字第10542136900號,金鑽新創科技有限公司,黃昌發,勞動基準法第80條,拒絕、規避或阻撓勞工檢查員依法執行職務,
105/12/30,105/10/03,北市勞動字第10538054300號,豪華樂器社,趙時賢,勞動基準法第22條第2項;勞動基準法第30條第1項;勞動基準法第30條第5項;勞動基準法第36條,工資未全額給付給勞工;正常工時超過法令規定;未依規定置備勞工出勤紀錄;每七日中未有一日之休息作為例假,
105/12/30,105/10/03,北市勞動字第10538054400號,利位有限公司,蘇昌業,勞動基準法第80條,拒絕、規避或阻撓勞工檢查員依法執行職務,
105/12/30,105/10/04,北市勞動字第10538345100號,聖母峰冷氣股份有限公司,潘采彤,勞動基準法第32條第2項,延長工作時間超過法令規定,
105/12/30,105/10/04,北市勞動字第10538328800號,元味丹尼股份有限公司,柳述勇,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條;勞動基準法第39條,延長工作時間未依規定加給工資;延長工作時間超過法令規定;每七日中未有一日之休息作為例假;假日工資未給或於休假日工作未依規定加給工資,
105/12/30,105/10/04,北市勞動字第10538330000號,愛諾國際有限公司,吳承衡,勞動基準法第59條第2款,勞工在醫療中不能工作時，雇主未按其原領工資數額予以補償,
105/12/30,105/10/05,北市勞動字第10538344600號,司威米休閒運動有限公司,王國忠,勞動基準法第51條,受裁處人拒絕女工妊娠期間申請改調較為輕易之工作,
105/12/30,105/10/05,北市勞動字第10535411700號,新光紡織股份有限公司,吳昕恩,勞動基準法第24條,延長工作時間未依規定加給工資,
105/12/30,105/10/05,北市勞動字第10530438700號,雲雀國際股份有限公司,田中基,勞動基準法第46條,受裁處人僱用未滿18歲之人從事工作，未置備其法定代理人同意書,
105/12/30,105/10/05,北市勞動字第10535407900號,南山人壽保險股份有限公司,杜英宗,勞動基準法第32條第2項,延長工作時間超過法令規定,
105/12/30,105/10/05,北市勞動字第10538060300號,中央研究院,廖俊智,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定;每七日中未有一日之休息作為例假,
105/12/30,105/10/06,北市勞動字第10535481400號,采映公關顧問有限公司,蔡依芯,勞動基準法第24條,延長工作時間未依規定加給工資,
105/12/30,105/10/06,北市勞動字第10535467600號,仁寶電腦工業股份有限公司,許勝雄,勞動基準法第24條;勞動基準法第30條第6項,延長工作時間未依規定加給工資;出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
105/12/30,105/10/06,北市勞動字第10535466800號,龍騰旅行社股份有限公司,朱漢光,勞動基準法第24條,延長工作時間未依規定加給工資,
105/12/30,105/10/06,北市勞動字第10535467800號,林茂雄(即永春花苑),,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
