公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
104/07/06,103/10/13,府勞動字第10335325300號,金儀股份有限公司,林樂萍,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/07/06,103/10/17,府勞動字第10336352000號,台灣大數位服務股份有限公司,鄭俊卿,勞動基準法第22條第2項,工資未全額直接給付勞工。,
104/07/06,103/10/21,府勞動字第10335475800號,嘉賀保全股份有限公司,李大明,勞動基準法第22條第2項,工資未全額直接給付勞工。,
104/07/06,103/11/03,府勞動字第10335836600號,競麗國際股份有限公司,何麗純,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/07/06,103/11/03,府勞動字第10335845700號,嘉賀保全股份有限公司,李大明,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/07/06,103/11/10,府勞動字第10336709300號,臺灣電視事業股份有限公司,黃崧,勞動基準法第36條;勞動基準法第32條第2項;勞動基準法第24條,每七日中未有一日之休息作為例假。;延長工作時間超過法令規定。;延長工作時間未依規定加給工資。,
104/07/06,104/01/19,府勞動字第10337785100號,展圓國際事業有限公司,張寶鄰,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,
104/07/06,104/04/24,府勞動字第10432255700號,長亮數位行銷有限公司,魏基益,勞動基準法第24條;勞動基準法第32條第1項,延長工作時間未依規定加給工資。;延長工作時間不符法定要件。,
104/07/06,104/04/27,府勞動字第10430529600號,大潤發流通事業股份有限公司,梅思勰,勞動基準法第32條第1項,延長工作時間不符法定要件。,
104/07/06,104/04/27,府勞動字第10430521800號,楊宗翰 (即皇家帝國麻辣火鍋店),,勞動基準法第30條第1項;勞動基準法第36條;勞動基準法第37條,正常工作時間超過法令規定。;每七日中未有一日之休息作為例假。;依規定應放假之日未予休假。,
104/07/06,104/04/27,府勞動字第10432268200號,財團法人公共電視文化事業基金會,,勞動基準法第36條;勞動基準法第32條第2項;勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第32條第1項,每七日中未有一日之休息作為例假。;延長工作時間超過法令規定。;延長工作時間未依規定加給工資。;未依規定置備勞工出勤紀錄表。;延長工作時間不符法定要件。,
104/07/06,104/04/27,府勞動字第10430521900號,銓宏汽車多媒體科技股份有限公司,張馹珅,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/07/06,104/04/27,府勞動字第10431138600號,洋禾生技行銷有限公司,張峻維,勞動基準法第22條第2項;勞動基準法第30條第5項,工資未全額直接給付勞工。;未依規定置備勞工出勤紀錄表。,
104/07/06,104/04/28,府勞動字第10432292700號,壹傳媒電視廣播股份有限公司,練台生,勞動基準法第32條第2項;勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第39條;勞動基準法第32條第1項;勞動基準法第49條第1項,延長工作時間超過法令規定。;延長工作時間未依規定加給工資。;未依規定置備勞工出勤紀錄表。;假日工資未給或於休假日工作未依規定加給工資。;延長工作時間不符法定要件。;未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,
104/07/06,104/04/28,府勞動字第10431241800號,樂兒美有限公司,李威政,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/07/06,104/04/29,府勞動字第10431138100號,復興航空運輸股份有限公司,林明昇,勞動基準法第32條第2項;勞動基準法第32條第3項,延長工作時間超過法令規定。;因天災、事變或突發事變有使勞工在正常工作時間已外工作之必要，未依規定於延長開始後24小時內報當地主管機關備查,
104/07/06,104/04/29,府勞動字第10432110000號,聯巨科技股份有限公司,王春福,勞動基準法第70條,未依規定將工作規則報請主管單位核備,
104/07/06,104/04/29,府勞動字第10431138500號,中興航空股份有限公司,楊壽芝,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/07/06,104/04/29,府勞動字第10431138000號,大鵬航空股份有限公司,孫永慶,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/07/06,104/04/29,府勞動字第10431138200號,財團法人第一社會福利基金會,柴松林,勞動基準法第32條第2項,延長工作時間超過法令規定。,
104/07/06,104/04/30,府勞動字第10432271400號,飛凡傳播股份有限公司,黃崧,勞動基準法第32條第2項;勞動基準法第24條;勞動基準法第32條第1項;勞動基準法第49條第1項,延長工作時間超過法令規定。;延長工作時間未依規定加給工資。;延長工作時間不符法定要件。;未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,
104/07/06,104/04/30,府勞動字第10432256000號,香港商蘋果日報出版發展有限公司台灣分公司,葉一堅,勞動基準法第49條第1項;勞動基準法第36條;勞動基準法第32條第2項;勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第39條;勞動基準法第9條第1項;勞動基準法第32條第1項,未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。;每七日中未有一日之休息作為例假。;延長工作時間超過法令規定。;延長工作時間未依規定加給工資。;未依規定置備勞工出勤紀錄表。;假日工資未給或於休假日工作未依規定加給工資。;違反規定訂定定期契約。;延長工作時間不符法定要件。,
104/07/06,104/04/30,府勞動字第10431732000號,台灣森永製?股份有限公司,潘明哲,勞動基準法第32條第2項,延長工作時間超過法令規定。,
104/07/06,104/04/30,府勞動字第10432922000號,廣通國際開發股份有限公司,謝明秋,勞動基準法第28條第2項,每七日中未有一日之休息作為例假。,
104/07/06,104/04/30,府勞動字第10432122000號,開發旅行社股份有限公司,梁榮堯,勞動基準法第36條;勞動基準法第24條,每七日中未有一日之休息作為例假。;延長工作時間未依規定加給工資。,
104/07/06,104/04/30,府勞動字第10432135800號,聯維有限電視股份有限公司,李錫欽,勞動基準法第32條第2項,延長工作時間超過法令規定。,
104/07/06,104/05/01,府勞動字第10432281800號,臺灣電視事業股份有限公司,黃崧,勞動基準法第36條;勞動基準法第32條第2項;勞動基準法第24條,每七日中未有一日之休息作為例假。;延長工作時間超過法令規定。;延長工作時間未依規定加給工資。,
104/07/06,104/05/01,府勞動字第10431242100號,泰安產物保險股份有限公司,李松季,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/07/06,104/05/01,府勞動字第10432255900號,財團法人慈濟傳播人文志業基金會,釋證嚴,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第30條第2項;勞動基準法第36條,延長工作時間未依規定加給工資。;延長工作時間超過法令規定。;違反每周工作總時數不得超過四十八小時;每七日中未有一日之休息作為例假。,
104/07/06,104/05/01,府勞動字第10431732800號,新世代旅行社股份有限公司,羅芳祥,勞動基準法第32條第1項,延長工作時間不符法定要件。,
104/07/06,104/05/01,府勞動字第10432276800號,天下雜誌股份有限公司,殷允芃,勞動基準法第30條第5項;勞動基準法第32條第2項;勞動基準法第36條;勞動基準法第49條第1項,未依規定置備勞工出勤紀錄表。;延長工作時間超過法令規定。;每七日中未有一日之休息作為例假。;未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,
104/07/06,104/05/04,府勞動字第10431132400號,典華婚訂資源整合股份有限公司,葉秀琴,勞動基準法第36條;勞動基準法第24條;勞動基準法第39條,每七日中未有一日之休息作為例假。;延長工作時間未依規定加給工資。;假日工資未給或於休假日工作未依規定加給工資。,
104/07/06,104/05/04,府勞動字第10431127900號,越吟有限公司,蘇昌業,勞動基準法第23條第1項,工資未定期給付勞工。,
