公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
104/12/14,104/04/13,府勞動字第10430884500號,寶城保全股份有限公司,吳傑駿,勞動基準法第24條。,延長工作時間未依規定加給工資,
104/12/14,104/06/10,府勞動字第10432122700號,力澂工程企業有限公司,謝寶賢,勞動基準法第59條第1項。,未給予職業災害期間工資補償,
104/12/14,104/03/20,府勞動字第10430282700號,嘉賀保全股份有限公司,李大明,勞動基準法第22條第2項。;勞動基準法第38條。;勞動基準法第39條。,工資未全額給付給勞工。;未依規定給予特別休假。;假日工資未給或於休假日工作未依規定加給工資,
104/12/14,104/05/01,府勞動字第10431242000號,忠安消防安全設備有限公司,柯秉燦,勞動基準法第9條第1項。,使勞工從事繼續性工作未依規定簽訂不定期契約,
104/12/14,104/05/22,府勞動字第10432198800號,台灣愛樂美教育管理顧問有限公司,梁葉李妹,勞動基準法第22條第2項。,工資未全額給付給勞工,
104/12/14,104/05/12,府勞動字第10432293400號,嘉誠聯禾股份有限公司,王韻珍,勞動基準法第22條第2項。,工資未全額給付給勞工,
104/12/14,104/05/06,府勞動字第10432122600號,崧旭資訊股份有限公司,王能超,勞動基準法第22條第2項。;勞動基準法第24條。,工資未全額給付給勞工。;延長工作時間未依規定加給工資,
104/12/14,104/03/23,府勞動字第10430049200號,百朝股份有限公司,陳珍郎,勞動基準法第30條第1項。,正常工時超過法令規定,
104/12/14,104/03/31,府勞動字第10430083700號,捷世登國際股份有限公司,張榮欽,勞動基準法第24條。;勞動基準法第26條。,延長工作時間未依規定加給工資。;預扣勞工工資作為違約金或賠償費用,
104/12/14,103/08/25,府勞動字第10333967700號,吳秉寰(即臺北市私立學碩文理補習班),,勞動基準法第22條第2項。;勞動基準法第24條。,工資未全額給付給勞工。;延長工作時間未依規定加給工資,
104/12/14,104/02/11,府勞動字第10336459900號,你知我知股份有限公司,王韋中,勞動基準法第30條第5項。,未依規定置備勞工出勤紀錄表,
104/12/14,104/03/04,府勞動字第10338335800號,恩沛行食品有限公司,高燕美,勞動基準法第22條第2項。,工資未全額給付給勞工,
104/12/14,104/03/05,府勞動字第10338812500號,名客數位行銷有限公司,林育君,勞動基準法第7條第1項。;勞動基準法第23條第1項。;勞動基準法第30條第5項。,未依規定置備勞工名卡。;工資未定期給付勞工。;未依規定置備勞工出勤紀錄表,
104/12/14,104/03/02,府勞動字第10338974400號,麻吉寵物用品有限公司,鄭淑鈴,勞動基準法第30條第5項。,未依規定置備勞工出勤紀錄表,
104/12/14,104/02/09,府勞動字第10339217200號,國立臺灣師範大學,張國恩,勞動基準法第22條第2項。,工資未全額給付給勞工,
104/12/14,104/03/13,府勞動字第10408339500號,蜜果國際有限公司,吳聿書,勞動基準法第22條第2項。,工資未全額給付給勞工,
104/12/14,104/03/03,府勞動字第10430020400號,長鴻榮實業股份有限公司,陳珍堉,勞動基準法第32條第2項。,延長工作時間超過法令規定,
104/12/14,104/03/25,府勞動字第10430073300號,德鎰制國際藝能有限公司,羅瑤,勞動基準法第23條第2項。;勞動基準法第30條第5項。,未依規定置備勞工工資清冊。;未依規定置備勞工出勤紀錄表,
104/12/14,104/03/04,府勞動字第10430073800號,路易威鐙保全股份有限公司,李香諄,勞動基準法第22條第2項。;勞動基準法第24條。;勞動基準法第32條第2項。;勞動基準法第36條。,工資未全額給付給勞工。;延長工作時間未依規定加給工資。;延長工作時間超過法令規定。;每七日中未有一日之休息作為例假,
104/12/14,104/03/25,府勞動字第10430096400號,家福股份有限公司,康柏德(Patrick Ganaye),勞動基準法第24條。;勞動基準法第32條第1項。;勞動基準法第49條第1項。,延長工作時間未依規定加給工資。;延長勞工工作時間未經工會或勞資會議同意。;未經工會或勞資會議同意使女性於午後10時至翌晨6時時間內工作,
104/12/14,104/04/09,府勞動字第10430700300號,微風超市股份有限公司,黃瑞妍,勞動基準法第37條。,依規定應放假之日未予休假,
104/12/14,104/03/12,府勞動字第10431511200號,藝晟實業股份有限公司,高盧藝,勞動基準法第24條。;勞動基準法第38條。,延長工作時間未依規定加給工資。;未依規定給予特別休假,
