公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
105/02/23,104/04/13,府勞動字第10431161700號,勝利美橡膠股份有限公司,賴淑華,勞動基準法第22條第2項;勞動基準法第30條第5項;勞動基準法第23條第2項,工資未全額給付給勞工;未依規定置備勞工工資清冊;未依規定置備勞工出勤紀錄表,
105/02/23,104/04/30,府勞動字第10432293000號,遠見天下文化出版股份有限公司,高希均,勞動基準法第32條第2項;勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第32條第1項;勞動基準法第49條第1項,延長工作時間未依規定加給工資;未依規定置備勞工出勤紀錄表;延長勞工工作時間未經工會或勞資會議同意;延長工作時間超過法令規定;未經工會或勞資會議同意使女性於午後10時至翌晨6時時間內工作,
105/02/23,104/05/01,府勞動字第10432299400號,自由時報企業股份有限公司,吳阿明,勞動基準法第36條;勞動基準法第22條第2項;勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第32條第1項;勞動基準法第30條第1項;勞動基準法第49條第1項,工資未全額給付給勞工;延長工作時間未依規定加給工資;正常工時超過法令規定;未依規定置備勞工出勤紀錄表;延長勞工工作時間未經工會或勞資會議同意;每七日中未有一日之休息作為例假,
105/02/23,104/06/02,府勞動字第10432276500號,品盛國際餐飲股份有限公司,李岱蓉,勞動基準法第22條第2項;勞動基準法第24條;勞動基準法第37條;勞動基準法第30條第1項,工資未全額給付給勞工;延長工作時間未依規定加給工資;正常工時超過法令規定;依規定應放假之日未予休假,
105/02/23,104/06/02,府勞動字第10432289600號,富台工程股份有限公司,劉啟通,勞動基準法第74條第2項 ,因勞工申訴而予解僱、調職或其他不利之處分,
105/02/23,104/06/15,府勞動字第10432133100號,貝特室內裝修設計有限公司,朱學淦,勞動基準法第22條第2項,工資未全額給付給勞工,
105/02/23,104/06/25,府勞動字第10432217700號,阿斯門亞洲有限公司,Stephan Assmann,勞動基準法第24條 ,延長工作時間未依規定加給工資,
105/02/23,104/06/30,府勞動字第10432217600號,神菇玉生醫開發股份有限公司,林俊宇,勞動基準法第30條第5項;勞動基準法第21條第1項,未達基本工資;未依規定置備勞工出勤紀錄表,
105/02/23,104/07/29,府勞動字第10433437500號,大誠染料有限公司,鄭文成,勞動基準法第38條 ,未依規定給予特別休假,
105/02/23,104/04/09,府勞動字第10430885000號,臺拓國際實業有限公司,陳卿子,勞動基準法第36條;勞動基準法第22條第2項;勞動基準法第24條 ,工資未全額給付給勞工;延長工作時間未依規定加給工資;每七日中未有一日之休息作為例假,
