事業單位/事業主,違反法令條款,處分書文號,處分日期
和馨有限公司,勞動基準法第30條第1項,府勞動字第10136520100號,101年09月05日
益潔有限公司,勞動基準法第27條,府勞動字第10137814300號,101年09月05日
華爾街美語股份有限公司,勞動基準法第16條第3項、第22條第2項、第38條,府勞動字第10135941504號,101年09月10日
探索南港館股份有限公司,勞動基準法第32條第2項、第36條,府勞動字第10138367800號,101年09月12日
得譯數位科技股份有限公司,勞動基準法第39條、第43條,府勞動字第10137136800號,101年09月13日
朋達開發股份有限公司,勞動基準法第22條第2項、第23條、第30條第5項,府勞動字第10137196700號,101年09月14日
黛安芬國際股份有限公司,勞動基準法第24條、第30條第3項、第32條第2項、第39條,府勞動字第10132288200號,101年09月14日
紅景天養生御品股份有限公司,勞動基準法第23條第1項,府勞動字第10138289900號,101年09月17日
速利貨運股份有限公司,勞動基準法第38條,府勞動字第10135643500號,101年09月18日
精英電腦股份有限公司,勞動基準法第30條第5項,府勞動字第10137137200號,101年09月19日
大有巴士股份有限公司,勞動基準法第22條第2項,府勞動字第10136849800號,101年09月21日
仁寶電腦工業股份有限公司,勞動基準法第30條第1項、第32條第1項、第32條第2項、第49條第1項,府勞動字第10137171600號,101年09月24日
大潤發流通事業股份有限公司,勞動基準法第38條,府勞動字第10138112900號,101年10月09日
寶福有線電視股份有限公司,勞動基準法第24條,府勞動字第10103255600號,101年10月12日
休閒國聯股份有限公司,勞動基準法第39條,府勞動字第10138073700號,101年10月15日
速立興業有限公司,勞動基準法第38條,府勞動字第10136541900號,101年10月15日
光寶科技股份有限公司,勞動基準法第30條第5項,府勞動字第10139051000號,101年10月22日
家福股份有限公司,勞動基準法第38條,府勞動字第10137824900號,101年10月22日
六星集股份有限公司,勞動基準法第30條第1項,府勞動字第10138139500號,101年10月23日
壹多媒體娛樂服務股份有限公司,勞動基準法第24條,府勞動字第10140093700號,101年10月23日
華生水資源生技股份有限公司,勞動基準法第22條第2項、第30條第1項、第37條,府勞動字第10138940900號,101年10月24日
媚登峰健康事業股份有限公司,勞動基準法第23條第1項,府勞動字第10138113000號,101年10月26日
中天旅行社股份有限公司,勞動基準法第22條第2項、第23條第2項,府勞動字第10139057200號,101年10月26日
大有巴士股份有限公司,勞動基準法第32條第2項,府勞動字第10139057300號,101年10月29日
馹昇企業有限公司,勞動基準法第27條,府勞動字第10133926700號,101年10月9日
動廣數位傳媒有限公司,勞動基準法第22條第2項、第30條第5項,府勞動字第10040857700號,100年12月09日
台品商城股份有限公司,勞動基準法第22條第2項,府勞動字第10041502100號,101年01月13日
立大金屬企業股份有限公司,勞動基準法第22條第2項、第30條第1項,府勞動字第10131528800號,101年03月08日
嘉賀保全股份有限公司,勞動基準法第32條第2項、第36條,府勞動字第10101293200號,101年05月01日
邑法食品有限公司,勞動基準法第30條第5項,府勞動字第10133585000號,101年05月03日
紅糖水有限公司,勞動基準法第30條第5項,府勞動字第10135730000號,101年06月04日
東華飯店有限公司,勞動基準法第30條第1項、第36條、第39條,府勞動字第10134784100號,101年06月29日
康福旅行社股份有限公司,勞動基準法第24條,府勞動字第10135497500號,101年07月11日
