事業單位/事業主,違反法令條款,處分書文號,處分日期,
禾鴻科技股份有限公司,勞動基準法第22條第2項,府勞動字第10131403000號,101年2月24日
德阜企業股份有限公司,勞動基準法第16條第3項,府勞動字第10130840500號,101年2月8日
大有巴士股份有限公司,勞動基準法第30條第1項、第32條第2項、第36條,府勞動字第10041231000號,101年1月4日
台灣保全股份有限公司,勞動基準法第32條第2項,府勞動字第10130406500號,101年1月5日
毅進鐵工廠有限公司,勞動基準法第30條第1項,府勞動字第10130852200號,101年2月10日
富記國際股份有限公司,勞動基準法第24條、第30條第1項、第32條第2項、第36條規定,府勞動字第10130406800號,101年2月23日
墨力文化出版社有限公司,勞動基準法第27條,府勞動字第10131246200號,101年2月24日
台灣順豐速運有限公司,勞動基準法第32條第2項,府勞動字第10041196000號,101年1月12日
中興大業巴士股份有限公司,勞動基準法第39條,府勞動字第10131345200號,101年2月10日
振煒企業有限公司,勞動基準法第28條,府勞動字第10130407500號,101年1月9日
信賴互動行銷有限公司,勞動基準法第30條第5項,府勞動字第10130550700號,101年1月30日
奕彊營造股份有限公司,勞動基準法第28條,府勞動字第10130579300號,101年2月16日
中華網龍股份有限公司,勞動基準法第24條、第32條第2項及第49條第1項,府勞動字第10130584800號,101年1月31日
業欣財信管理股份有限公司,勞動基準法第24條,府勞動字第10131365500號,101年2月8日
開元食品工業股份有限公司,勞動基準法第30條第5項,府勞動字第10040980800號,100年12月12日
世偉工程顧問有限公司,勞動基準法第24條、第30條第5項、第32條第1項、第32條第2項,府勞動字第10040641100號,101年1月2日
騰雲有限公司,勞動基準法第32條第2項,府勞動字第10041465500號,101年1月6日
齊裕營造股份有限公司,勞動基準法第30條第1項、第30條第5項及第37條,府勞動字第10041683200號,101年1月12日
鄭淑芬(即臺北市私立群英老人養護所),勞動基準法第36條,府勞動字第10131358500號,101年1月31日
萬事達嘉友旅店有限公司,勞動基準法第30條第1項、第49條第1項,府勞動字第10041698900號,101年1月31日
民和保全股份有限公司,勞動基準法第30條第1項,府勞動字第10131326100號,101年1月20日
誼光保全股份有限公司,勞動基準法第32條第2項、第36條,府勞動字第10130408800號,101年1月9日
仁寶電腦工業股份有限公司,勞動基準法第32條第2項,府勞動字第10130409100號,101年1月9日
宗伸企業股份有限公司,勞動基準法第30條第1項,府勞動字第10131240600號,101年2月8日
永大機電工業股份有限公司,勞動基準法第32條第2項,府勞動字第10041196000號,101年1月2日
英屬維京群島商華敦國際有限公司台灣分公司,勞動基準法第36條,府勞動字第10041460000號,101年1月4日
酷柏光學有限公司,勞動基準法第32條第2項,府勞動字第10041683500號,101年1月18日
連晟保全股份有限公司,勞動基準法第21條第1項,府勞動字第10130583600號,101年1月30日
誠隆汽車股份有限公司,勞動基準法第30條第5項、第39條,府勞動字第10041708600號,101年1月30日
高黃景(即臺北市私立荷園老人長期照顧中心),勞動基準法第36條,府勞動字第10131483900號,101年2月20日
萬象有線電視股份有限公司,勞動基準法第32條第2項,府勞動字第10131278900號,101年2月17日
