公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
104/11/05,104/02/13,府勞動字第10430088700號,天韻健康事業股份有限公司,劉得隆,勞動基準法第23條第1項。;勞動基準法第30條第5項。;勞動基準法第74條第2項,工資未定期給付勞工。;未依規定置備勞工出勤紀錄表。;因勞工申訴而予不利處分,
104/11/05,104/02/25,府勞動字第10338346800號,真食補生技有限公司,邱國政,勞動基準法第16條第3項,未給付預告期間工資,
104/11/05,104/02/25,府勞動字第10430083500號,怡富融資股份有限公司,陳嘉明,勞動基準法第24條。;勞動基準法第39條,延長工作時間未依規定加給工資。;假日工資未給或於休假日工作未依規定加給工資,
104/11/05,104/03/03,府勞動字第10430016800號,台灣高速鐵路股份有限公司,范志強,勞動基準法第24條。;勞動基準法第37條,延長工作時間未依規定加給工資。;依規定應放假之日未予休假,
104/11/05,104/03/03,府勞動字第10430019900號,芬芳專業美容坊,張秀英,勞動基準法第24條。;勞動基準法第39條,延長工作時間未依規定加給工資。;假日工資未給或於休假日工作未依規定加給工資,
104/11/05,104/03/11,府勞動字第10338356000號,中華電視股份有限公司,邵玉銘,勞動基準法第24條。;勞動基準法第32條第2項,延長工作時間未依規定加給工資。;延長工作時間超過法令規定,
104/11/05,104/03/16,府勞動字第10430037100號,莊文欽,莊文欽,勞動基準法第59條第1款。;勞動基準法第59條第2款,未給予職業災害期間工資補償。;未給予職業災害期間醫療費用,
104/11/05,104/03/18,府勞動字第10338635500號,豪泰汽車客運股份有限公司,周文蘭,勞動基準法第37條,依規定應放假之日未予休假,
104/11/05,104/03/23,府勞動字第10338812900號,宏華國際股份有限公司,吳政淦,勞動基準法第22條第2項。;勞動基準法第24條。;勞動基準法第32條第2項。;勞動基準法第39條。;勞動基準法第50條,工資未全額給付給勞工。;延長工作時間未依規定加給工資。;延長工作時間超過法令規定。;假日工資未給或於休假日工作未依規定加給工資。;未依規定給付產假工資,
104/11/05,104/03/25,府勞動字第10338754000號,卓駿有限公司,楊永東,勞動基準法第24條。;勞動基準法第30條第5項,延長工作時間未依規定加給工資。;未依規定置備勞工出勤紀錄表,
