公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
105/11/30,105/02/15,北市勞動字第10439637400號,陳稻松(即得魚會計師事務所),,勞動基準法第24條 ,延長工作時間未依規定加給工資,
105/11/30,105/09/01,北市勞動字第10535421400號,新高國際設施服務股份有限公司,顧卓群,勞動基準法第30條第1項,正常工時超過法令規定,
105/11/30,105/09/01,北市勞動字第10535426200號,趙錦芳(即石妃醫美診所),,勞動基準法第23條第1項,工資未定期給付勞工,
105/11/30,105/09/01,北市勞動字第10538060500號,宏祥國際有限公司,林建邦,勞動基準法第22條第2項;勞動基準法第24條;勞動基準法第35條;勞動基準法第39條,工資未全額給付給勞工;延長工作時間未依規定加給工資;勞工繼續工作四小時未給予至少三十分鐘之休息;假日工資未給或於休假日工作未依規定加給工資,
105/11/30,105/09/01,北市勞動字第10535414500號,行動拍拍賣科技股份有限公司,林一泓,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
105/11/30,105/09/01,北市勞動字第10535405300號,國立臺灣大學生物資源暨農學院附設動物醫院,季昭華,勞動基準法第24條,延長工作時間未依規定加給工資,
105/11/30,105/09/01,北市勞動字第10535334900號,雅丹國際美容有限公司,陳徐梅英,勞動基準法第22條第2項,工資未全額給付給勞工,
105/11/30,105/09/02,北市勞動字第10535404700號,弘達消防器材有限公司,高伍郎,勞動基準法第32條第2項,延長工作時間超過法令規定,
105/11/30,105/09/02,北市勞動字第10535436000號,碁碩實業股份有限公司,鄭恩弘,勞動基準法第23條第1項,工資未定期給付勞工,
105/11/30,105/09/02,北市勞動字第10535383100號,臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理,連吉時,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條,延長工作時間未依規定加給工資;延長工作時間超過法令規定;每七日中未有一日之休息作為例假,
105/11/30,105/09/02,北市勞動字第10535420100號,和欣汽車客運股份有限公司,順翊投資有限公司指派代表人：梁 樾,勞動基準法第32條第2項,延長工作時間超過法令規定,
105/11/30,105/09/02,北市勞動字第10535362300號,安心食品服務股份有限公司,黃茂雄,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定;每七日中未有一日之休息作為例假,
105/11/30,105/09/05,北市勞動字第10538048300號,恆力機電顧問股份有限公司,張桂香,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資;延長工作時間超過法令規定,
105/11/30,105/09/05,北市勞動字第10535417100號,創見資訊股份有限公司,束崇萬,勞動基準法第24條,延長工作時間未依規定加給工資,
105/11/30,105/09/05,北市勞動字第10535417500號,台灣留蘭香股份有限公司,羅凡,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
105/11/30,105/09/05,北市勞動字第10535444800號,勤力國際股份有限公司,岑德強,勞動基準法第30條第6項;勞動基準法第36條,出勤紀錄未逐日記載勞工出勤情形至分鐘為止;每七日中未有一日之休息作為例假,
105/11/30,105/09/05,北市勞動字第10538502800號,億興人力管理顧問有限公司,李浩,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
105/11/30,105/09/05,北市勞動字第10535436500號,合全產品開發股份有限公司,廖文廣,勞動基準法第24條,延長工作時間未依規定加給工資,
