公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
104/06/05,104/04/01,府勞動字第10338812600號,財團法人公共電視文化事業基金會,邵玉銘,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資。;延長工作時間超過法令規定。,
104/06/05,104/04/01,府勞動字第10430078100號,財團法人台灣兒童暨家庭扶助基金會,林柏榕,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資。;延長工作時間超過法令規定。,
104/06/05,104/04/01,府勞動字第10338812700號,誠耕企業股份有限公司,劉人銘,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/06/05,104/04/01,府勞動字第10430089600號,祥宏數位科技有限公司,張玉菊,勞動基準法第22條第2項;勞動基準法第23條第2項;勞動基準法第30條第5項,工資未全額直接給付勞工。;未依規定置備工資清冊。;未依規定置備勞工出勤紀錄表。,
104/06/05,104/04/02,府勞動字第10400259800號,時代創意行銷有限公司,張詔閔,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/06/05,104/04/07,府勞動字第10431223900號,頂尖東方國際娛樂傳媒股份有限公司,阮詩萍,勞動基準法第24條;勞動基準法第23條第1項;勞動基準法第32條第1項,延長工作時間未依規定加給工資。;工資未定期給付勞工。;延長工作時間不符法定要件。,
104/06/05,104/04/07,府勞動字第10430702600號,中央電影事業股份有限公司,郭台強,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/06/05,104/04/07,府勞動字第10431176300號,泊樂停車場有限公司,陳淑萍,勞動基準法第24條;勞動基準法第30條第5項,延長工作時間未依規定加給工資。;未依規定置備勞工出勤紀錄表。,
104/06/05,104/04/07,府勞動字第10430091400號,欣榮物流股份有限公司,汪立國,勞動基準法第36條;勞動基準法第32條第2項;勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第35條;勞動基準法第32條第1項,每七日中未有一日之休息作為例假。;延長工作時間超過法令規定。;延長工作時間未依規定加給工資。;未依規定置備勞工出勤紀錄表。;未依規定給予休息時間。;延長工作時間不符法定要件。,
104/06/05,104/04/07,府勞動字第10430088500號,銓鉅福股份有限公司,朱志華,勞動基準法第32條第2項,延長工作時間超過法令規定。,
104/06/05,104/04/07,府勞動字第10430884800號,吳國隆（即漢林髮廊）,,勞動基準法第23條第2項,未依規定置備工資清冊。,
104/06/05,104/04/07,府勞動字第10430856200號,利昇開發實業有限公司,潘麗鈺,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/06/05,104/04/07,府勞動字第10430088200號,台灣水泥股份有限公司,辜成允,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資。;延長工作時間超過法令規定。,
104/06/05,104/04/07,府勞動字第10430096100號,膳安國際股份有限公司,孟憲鎧,勞動基準法第30條第1項;勞動基準法第37條;勞動基準法第49條第1項,正常工作時間超過法令規定。;依規定應放假之日未予休假。;未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,
104/06/05,104/04/07,府勞動字第10430096000號,耐德科技股份有限公司,陳昶任,勞動基準法第22條第2項,工資未全額直接給付勞工。,
104/06/05,104/04/07,府勞動字第10430095800號,力山保全股份有限公司,楊居淳,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定。;每七日中未有一日之休息作為例假。,
104/06/05,104/04/09,府勞動字第10431145700號,日商三共生興股份有限公司台北分公司,松室亨,勞動基準法第36條;勞動基準法第24條;勞動基準法第37條;勞動基準法第30條第1項,每七日中未有一日之休息作為例假。;延長工作時間未依規定加給工資。;依規定應放假之日未予休假。;正常工作時間超過法令規定。,
104/06/05,104/04/10,府勞動字第10431176100號,大席保全股份有限公司,趙更生,勞動基準法第21條第1項,未達基本工資。,
104/06/05,104/04/10,府勞動字第10430700500號,王鄭誾(即火車輪食品行),,勞動基準法第24條;勞動基準法第38條,延長工作時間未依規定加給工資。;未依規定給予特別休假。,
104/06/05,104/04/10,府勞動字第10430699900號,凌智股份有限公司,黃國斌,勞動基準法第36條;勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第30條第1項,每七日中未有一日之休息作為例假。;延長工作時間未依規定加給工資。;未依規定置備勞工出勤紀錄表。;正常工作時間超過法令規定。,
104/06/05,104/04/10,府勞動字第10430700200號,信榮海陸運輸股份有限公司,蘇信吉,勞動基準法第22條第2項;勞動基準法第23條第1項,工資未全額直接給付勞工。;工資未定期給付勞工。,
104/06/05,104/04/10,府勞動字第10431138400號,法商法國巴黎人壽保險股份有限公司台灣分公司,陳鼎中,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定。;每七日中未有一日之休息作為例假。,
104/06/05,104/04/10,府勞動字第10431234500號,元大寶來證券股份有限公司,賀鳴珩,勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第32條第2項,延長工作時間未依規定加給工資。;未依規定置備勞工出勤紀錄表。;延長工作時間超過法令規定。,
104/06/05,104/04/10,府勞動字第10431113100號,媒體庫傳播股份有限公司,程懷昌,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資。;延長工作時間超過法令規定。,
104/06/05,104/04/13,府勞動字第10431674300號,群英科技股份有限公司,鄭宏森,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/06/05,104/04/13,府勞動字第10430884500號,寶城保全股份有限公司,吳傑駿,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/06/05,104/04/14,府勞動字第10431158200號,香港商夢廣場餐飲有限公司,藤本秀豊,勞動基準法第30條第1項;勞動基準法第36條;勞動基準法第37條,正常工作時間超過法令規定。;每七日中未有一日之休息作為例假。;依規定應放假之日未予休假。,
104/06/05,104/04/15,府勞動字第10432246400號,小南國國際股份有限公司,林長立,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/06/05,104/04/16,府勞動字第10431161200號,財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院,楊育正,勞動基準法第43條,未依規定扣除勞工請假時數,
104/06/05,104/04/17,府勞動字第10431161400號,開泰豐國際股份有限公司,林命群,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,
104/06/05,104/04/17,府勞動字第10431152100號,陳俊吉（即369海釣場）,,勞動基準法第30條第5項;勞動基準法第23條第2項,未依規定置備勞工出勤紀錄表。;未依規定置備工資清冊。,
104/06/05,104/04/17,府勞動字第10431161600號,多佳力有限公司,黃玉華,勞動基準法第30條第1項;勞動基準法第36條,正常工作時間超過法令規定。;每七日中未有一日之休息作為例假。,
104/06/05,104/04/17,府勞動字第10431161800號,創越股份有限公司,謝國棟,勞動基準法第30條第1項,正常工作時間超過法令規定。,
104/06/05,104/04/17,府勞動字第10431157900號,國昀保全股份有限公司,林治方,勞動基準法第38條,未依規定給予特別休假。,
104/06/05,104/04/17,府勞動字第10431161500號,松涵企業有限公司,林維寧,勞動基準法第38條,未依規定給予特別休假。,
104/06/05,104/04/20,府勞動字第10431235400號,依賞企業有限公司,方李雲霓,勞動基準法第36條,每七日中未有一日之休息作為例假。,
104/06/05,104/04/20,府勞動字第10431157600號,大眾綜合證券股份有限公司,陳田稻,勞動基準法第32條第2項;勞動基準法第24條,延長工作時間超過法令規定。;延長工作時間未依規定加給工資。,
104/06/05,104/04/20,府勞動字第10431152000號,迅達電梯股份有限公司,杜德凡Stefan Donle,勞動基準法第32條第2項;勞動基準法第30條第5項,延長工作時間超過法令規定。;未依規定置備勞工出勤紀錄表。,
104/06/05,104/04/20,府勞動字第10431158000號,指南汽車客運股份有限公司,呂奇?,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定。;每七日中未有一日之休息作為例假。,
104/06/05,104/04/20,府勞動字第10431158100號,高憲鴻（即高師傅?子工房),,勞動基準法第22條第2項;勞動基準法第24條;勞動基準法第37條;勞動基準法第39條,工資未全額直接給付勞工。;延長工作時間未依規定加給工資。;依規定應放假之日未予休假。;假日工資未給或於休假日工作未依規定加給工資。,
104/06/05,104/04/20,府勞動字第10431158300號,元鼎國際企業股份有限公司,,勞動基準法第36條;勞動基準法第39條,每七日中未有一日之休息作為例假。;假日工資未給或於休假日工作未依規定加給工資。,
104/06/05,104/04/20,府勞動字第10431152200號,聯巨科技股份有限公司,王春福,勞動基準法第32條第2項,延長工作時間超過法令規定。,
104/06/05,104/04/21,府勞動字第10431148600號,一零一保全事業股份有限公司,鄺英杰,勞動基準法第30條第1項,正常工作時間超過法令規定。,
