公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
106/03/16,106/01/03,北市勞動字第10543932800號,艾薇莉特國際有限公司,李富美,勞動基準法第30條第1項,正常工時超過法令規定,
106/03/16,106/01/03,北市勞動字第10542849600號,貳拾之貳拾創意行銷有限公司,朱容靉,勞動基準法第24條;勞動基準法第49條第1項,延長工作時間未依規定加給工資;未經工會或勞資會議同意使女性於午後10時至翌晨6時時間內工作,
106/03/16,106/01/03,北市勞動字第10542859700號,台灣新光保全股份有限公司,林伯峰,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
106/03/16,106/01/03,北市勞動字第10542843700號,英建工程股份有限公司,謝金勇,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
106/03/16,106/01/03,北市勞動字第10542839100號,東立出版社有限公司,黃美月,勞動基準法第24條,延長工作時間未依規定加給工資,
106/03/16,106/01/03,北市勞動字第10542864700號,速傳貿易有限公司,洪郁翔,勞動基準法第24條;勞動基準法第39條,延長工作時間未依規定加給工資;假日工資未給或於休假日工作未依規定加給工資,
106/03/16,106/01/03,北市勞動字第10542816000號,全聯實業股份有限公司,林敏雄,勞動基準法第24條;勞動基準法第30條第1項,延長工作時間未依規定加給工資;正常工時超過法令規定,
106/03/16,106/01/03,北市勞動字第10538911000號,宏樵居酒屋,楊定杰,勞動基準法第24條;勞動基準法第39條,延長工作時間未依規定加給工資;假日工資未給或於休假日工作未依規定加給工資,
106/03/16,106/01/03,北市勞動字第10543566900號,銘鴻河海工程有限公司,翁意芳,勞動基準法第7條第1項;勞動基準法第23條第2項;勞動基準法第30條第5項,未按規定置備勞工名卡;未按規定置備勞工工資清冊;未依規定置備勞工出勤紀錄,
106/03/16,106/01/03,北市勞動字第10542862700號,大陸工程股份有限公司,殷琪,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,
106/03/16,106/01/03,北市勞動字第10542790400號,廷瑞國際有限公司,盧怡君,勞動基準法第23條第2項,未按規定置備勞工工資清冊,
106/03/16,106/01/04,北市勞動字第10542815800號,東森電視事業股份有限公司,范瑞穎,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
106/03/16,106/01/04,北市勞動字第10542815700號,愛樂芬有限公司,陳毓芝,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
106/03/16,106/01/05,北市勞動字第10542819200號,華經資訊企業股份有限公司,魏幸雄,勞動基準法第24條,延長工作時間未依規定加給工資,
106/03/16,106/01/05,北市勞動字第10542827300號,飛力思創意廣告有限公司,徐凱玲,勞動基準法第24條;勞動基準法第30條第6項,延長工作時間未依規定加給工資;出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
106/03/16,106/01/05,北市勞動字第10542837600號,久?有限公司,張志成,勞動基準法第23條第1項,工資未定期給付勞工,
106/03/16,106/01/05,北市勞動字第10546337600號,國泰世華商業銀行股份有限公司,陳祖培,勞動基準法第32條第1項,延長勞工工作時間未經工會或勞資會議同意,
106/03/16,106/01/05,北市勞動字第10546546700號,遠寬電信股份有限公司,張佰任,勞動基準法第38條,未依規定給予特別休假,
106/03/16,106/01/06,北市勞動字第10542814000號,瑞助營造股份有限公司,張正岳,勞動基準法第36條,每七日中未有一日之休息作為例假,
106/03/16,106/01/06,北市勞動字第10546346700號,吳楀晴(即宏達汽車輪胎保養所),,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
106/03/16,106/01/06,北市勞動字第10542841500號,我在影像製作有限公司,陳慧瑛,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
106/03/16,106/01/06,北市勞動字第10542843900號,奧文環球科技有限公司,邱鉅權,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資;延長工作時間超過法令規定,
106/03/16,106/01/06,北市勞動字第10539037900號,張耀飛（即臺北市私立飛哥文理短期補習班）,,勞動基準法第38條;勞動基準法第39條,未依規定給予特別休假;假日工資未給或於休假日工作未依規定加給工資,
106/03/16,106/01/09,北市勞動字第10542806000號,上岳貿易有限公司,黃室堂,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
106/03/16,106/01/09,北市勞動字第10542893800號,亞泰物業綜合管理顧問有限公司,林?春,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,
106/03/16,106/01/09,北市勞動字第10542808800號,梁振業（即橋頭食品行）,,勞動基準法第30條第1項,正常工時超過法令規定,
106/03/16,106/01/09,北市勞動字第10542811800號,佩鑫有限公司,徐文鑫,勞動基準法第38條,未依規定給予特別休假,
106/03/16,106/01/09,北市勞動字第10542811900號,美而快實業股份有限公司,廖承豪,勞動基準法第24條,延長工作時間未依規定加給工資,
106/03/16,106/01/11,北市勞動字第10542826600號,彬松科技股份有限公司,林英男,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條,延長工作時間未依規定加給工資;延長工作時間超過法令規定;每七日中未有一日之休息作為例假,
106/03/16,106/01/11,北市勞動字第10542834300號,頂尖科技股份有限公司,鈕李明,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,
106/03/16,106/01/11,北市勞動字第10542821300號,豐隆大飯店股份有限公司,郭令明,勞動基準法第30條第6項;勞動基準法第32條第2項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止;延長工作時間超過法令規定,
106/03/16,106/01/11,北市勞動字第10542837800號,台灣競舞娛樂有限公司,劉佳衢,勞動基準法第24條;勞動基準法第32條第1項,延長工作時間未依規定加給工資;延長勞工工作時間未經工會或勞資會議同意,
106/03/16,106/01/11,北市勞動字第10542830400號,?亭停車事業股份有限公司,陳文俊,勞動基準法第43條,未按勞工請假規則規定給假,
106/03/16,106/01/11,北市勞動字第10542854400號,愛比科技股份有限公司,洪裕鈞,勞動基準法第24條,延長工作時間未依規定加給工資,
106/03/16,106/01/11,北市勞動字第10542822000號,廖士榮（即盛銓商行）,,勞動基準法第35條,勞工繼續工作四小時未給予至少三十分鐘之休息,
106/03/16,106/01/11,北市勞動字第10542868300號,萬達寵物事業股份有限公司,袁睦鄰,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
106/03/16,106/01/11,北市勞動字第10542819700號,保捷康物業管理服務股份有限公司,劉國輝,勞動基準法第22條第2項,工資未全額給付給勞工,
106/03/16,106/01/11,北市勞動字第10542838900號,爵士影像事業有限公司,張海文,勞動基準法第24條;勞動基準法第30條第6項,延長工作時間未依規定加給工資;出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
106/03/16,106/01/11,北市勞動字第10630693700號,三豪有限公司,鄭秀慧,勞動基準法第22條第2項,工資未全額給付給勞工,
106/03/16,106/01/12,北市勞動字第10542837900號,東京都保全股份有限公司,吉田裕幸,勞動基準法第37條,依規定應放假之日未予休假,
106/03/16,106/01/12,北市勞動字第10542825600號,艾享有限公司,黃國鎮,勞動基準法第30條第5項;勞動基準法第70條,未依規定置備勞工出勤紀錄;未訂立工作規則並報請主管機關核備,
106/03/16,106/01/12,北市勞動字第10542843800號,醫美奇蹟有限公司,劉貞華,勞動基準法第22條第2項;勞動基準法第23條第1項,工資未全額給付給勞工;工資未定期給付勞工,
106/03/16,106/01/12,北市勞動字第10542869800號,台灣仁本服務股份有限公司,林宥馨,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
106/03/16,106/01/12,北市勞動字第10542860800號,售委師國際有限公司,許玲美,勞動基準法第24條,延長工作時間未依規定加給工資,
106/03/16,106/01/12,北市勞動字第10630703700號,香港商淘寶資訊股份有限公司台灣分公司,傅紀清,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
106/03/16,106/01/13,北市勞動字第10542892400號,喬輝企業股份有限公司,劉漢陽,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,
