公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
105/06/20,104/09/18,府勞動字第10435043900號,六福開發股份有限公司,莊村徹,勞動基準法第24條;勞動基準法第35條,延長工作時間未依規定加給工資;勞工繼續工作四小時，未給予至少三十分鐘之休息,
105/06/20,104/09/18,府勞動字第10435027000號,財團法人台灣兒童暨家庭扶助基金會,林柏榕,勞動基準法第24條;勞動基準法第30條第1項;勞動基準法第32條第1項;勞動基準法第32條第2項;勞動基準法第36條;勞動基準法第49條第1項;勞動基準法第70條,延長工作時間未依規定加給;工資正常工時超過法令規定;延長勞工工作時間未經工會或勞資會議同意;延長工作時間超過法令規定;每七日中未有一日之休息作為例假;未經工會或勞資會議同意使女性於午後10時至翌晨6時時間內工作;事業單位超過30人，未訂立工作規則報主管機關核備並公開揭示之,
105/06/20,105/01/06,北市勞動字10440828500號,劉兆鎧(即利市商行),,勞動基準法第23條第1項,工資未定期給付勞工,
105/06/20,105/01/12,北市勞動字10436347700號,朋廚有限公司,許詠翔,勞動基準法第22條第2項,工資未全額給付給勞工,
105/06/20,105/01/28,北市勞動字10439596200號,雅克運動行銷有限公司,王德源,勞動基準法第24條勞動基準法;第30條第5項,延長工作時間未依規定加給;工資未依規定置備勞工出勤紀錄,
105/06/20,105/01/30,北市勞動字10531126100號,台灣電力股份有限公司,黃重球,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,
105/06/20,105/01/30,北市勞動字10439641100號,光華巴士股份有限公司,呂奇龍,勞動基準法第59條第1項第1款;勞動基準法第59條第1項第2款,工資未全額給付給勞工;勞工在醫療中不能工作時，雇主未按其原領工資數額予以補償,
105/06/20,105/01/30,北市勞動字10439663100號,新新聞文化事業股份有限公司,朱國榮,勞動基準法第22條第2項,工資未全額給付給勞工,
105/06/20,105/02/02,北市勞動字10439695700號,明新工程股份有限公司,林春誠,勞動基準法第17條,依勞動基準法第11條終止勞動契約，未於30天內給予資遣費,
105/06/20,105/02/15,北市勞動字10439661600號,臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理,連吉時,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資;延長工作時間超過法令規定,
105/06/20,105/02/17,北市勞動字10439658400號,皇家電訊科技有限公司,林文凱,勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第36條;勞動基準法第37條,延長工作時間未依規定加給工資;未依規定置備勞工出勤紀錄;每七日中未有一日之休息作為例假;依規定應放假之日未予休假,
105/06/20,105/02/25,北市勞動字10509079000號,三彥實業有限公司,陳彥廷,勞動基準法第30條第1項,正常工時超過法令規定,
105/06/20,105/03/02,北市勞動字10531959800號,威超保全股份有限公司,楊震宇,勞動基準法第22條第2項;勞動基準法第30條第1項;勞動基準法第30條第5項,工資未全額給付給勞工;正常工時超過法令規定;未依規定置備勞工出勤紀錄,
105/06/20,105/03/03,北市勞動字10530229400號,騰普科技有限公司,黃舜,勞動基準法第32條第1項;勞動基準法第32條第2項;勞動基準法第49條第1項,延長勞工工作時間未經工會或勞資會議同意;延長工作時間超過法令規定;未經工會或勞資會議同意使女性於午後10時至翌晨6時時間內工作,
105/06/20,105/03/08,北市勞動字10530323200號,金品茶語股份有限公司,黃馨儀,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,
105/06/20,105/03/11,北市勞動字10531915200號,大春事業股份有限公司,林希亮,勞動基準法第36條;勞動基準法第49條第1項;勞動基準法第70條,每七日中未有一日之休息作為例假;未經工會或勞資會議同意使女性於午後10時至翌晨6時時間內工作;事業單位超過30人，未訂立工作規則報主管機關核備並公開揭示之,
105/06/20,105/04/01,北市勞動字第10530317300號,傢齊精品瓷磚有限公司,張魁倫,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資;延長工作時間超過法令規定,
105/06/20,105/04/01,北市勞動字第10530321200號,訊聯生物科技股份有限公司,蔡政憲,勞動基準法第24條,延長工作時間未依規定加給工資,
105/06/20,105/04/01,北市勞動字第10530363700號,天協右汽車有限公司,李錦富,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
105/06/20,105/04/01,北市勞動字第10530356800號,精彩食譜股份有限公司,賴粵興,勞動基準法第36條,每七日中未有一日之休息作為例假,
105/06/20,105/04/01,北市勞動字第10530351600號,我們好好股份有限公司,馮惠芸,勞動基準法第30條第5項;勞動基準法第37條,未依規定置備勞工出勤紀錄;依規定應放假之日未予休假,
105/06/20,105/04/01,北市勞動字第10530346900號,藝珂人事顧問股份有限公司,陳玉芬,勞動基準法第36條;勞動基準法第32條第2項,每七日中未有一日之休息作為例假;延長工作時間超過法令規定,
105/06/20,105/04/01,北市勞動字第10530332700號,羅登光學有限公司,沈文裕,勞動基準法第36條,每七日中未有一日之休息作為例假,
105/06/20,105/04/01,北市勞動字第10530342800號,長和環保事業有限公司,陳清河,勞動基準法第30條第1項,正常工時超過法令規定,
105/06/20,105/04/01,北市勞動字第10530287500號,國昀保全股份有限公司,林治方,勞動基準法第24條,延長工作時間未依規定加給工資,
105/06/20,105/04/01,北市勞動字第10533232200號,光華巴士股份有限公司,呂奇龍,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定;每七日中未有一日之休息作為例假,
105/06/20,105/04/06,北市勞動字第10533199500號,金色三麥餐飲股份有限公司,葉冠廷,勞動基準法第32條第2項,延長工作時間超過法令規定,
105/06/20,105/04/06,北市勞動字第10530352500號,貝克漢健康事業股份有限公司,林建吉,勞動基準法第22條第2項;勞動基準法第30條第1項,工資未全額給付給勞工;正常工時超過法令規定,
105/06/20,105/04/06,北市勞動字第10530385700號,東寧保全股份有限公司,林俊廷,勞動基準法第36條;勞動基準法第32條第2項,每七日中未有一日之休息作為例假;延長工作時間超過法令規定,
