公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
105/08/30,104/11/05,府勞動字第10436026800號,艾維士小客車租賃股份有限公司,蕭世煌,勞動基準法第24條;勞動基準法第37條;,延長工作時間未依規定加給工資;依規定應放假之日未予休假;,
105/08/30,105/01/22,北市勞動字第10439633900號,優利資源整合股份有限公司,李芃葳,勞動基準法第22條第2項;勞動基準法第23條第1項;,工資未全額給付給勞工;工資未定期給付勞工;,
105/08/30,105/02/15,北市勞動字第10439631800號,台灣順豐速運股份有限公司,章學芬,勞動基準法第32條第2項;,延長工作時間超過法令規定;,
105/08/30,105/02/24,北市勞動字第10439708400號,松勤玖號公寓大廈管理委員會,馮建中,勞動基準法第36條;,每七日中未有一日之休息作為例假;,
105/08/30,105/03/01,北市勞動字第10531908900號,安心開發不動產仲介有限公司,阮微鈞,勞動基準法第22條第2項;,工資未全額給付給勞工;,
105/08/30,105/03/09,北市勞動字第10533200500號,艾可國際股份有限公司,許惠婷,勞動基準法第22條第2項;勞動基準法第30條第5項;勞動基準法第32條第2項;,工資未全額給付給勞工;未依規定置備勞工出勤紀錄;延長工作時間超過法令規定;,
105/08/30,105/03/10,北市勞動字第10533249600號,李心如(即一書漫閱讀資訊館),,勞動基準法第22條第2項;勞動基準法第24條;,工資未全額給付給勞工;延長工作時間未依規定加給工資;,
105/08/30,105/03/11,北市勞動字第10530231100號,澺富徠生物科技有限公司,張湘壇,勞動基準法第39條;,假日工資未給或於休假日工作未依規定加給工資;,
105/08/30,105/03/14,北市勞動字第10533169600號,蔡瑞玲（即大華聯合會計師事務所）,,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條;,延長工作時間未依規定加給工資;延長工作時間超過法令規定;每七日中未有一日之休息作為例假;,
105/08/30,105/03/16,北市勞動字第10533284000號,首善有限公司,袁世華,勞動基準法第30條第5項;,未依規定置備勞工出勤紀錄;,
105/08/30,105/03/16,北市勞動字第10530313300號,億和汽車股份有限公司,邱憲道,勞動基準法第30條第5項;,未依規定置備勞工出勤紀錄;,
105/08/30,105/03/17,北市勞動字第10530244200號,玉川國際有限公司,蘇晏徵,勞動基準法第24條;,延長工作時間未依規定加給工資;,
105/08/30,105/03/24,北市勞動字第10530282100號,六員環有限公司,嚴健誠,勞動基準法第39條;,假日工資未給或於休假日工作未依規定加給工資;,
105/08/30,105/03/30,北市勞動字第10530319400,財團法人台灣敦睦聯誼會所屬作業組織圓山大飯店,李建榮,勞動基準法第30條第1項;勞動基準法第32條第1項;勞動基準法第38條;勞動基準法第49條第1項;,正常工時超過法令規定;延長勞工工作時間未經工會或勞資會議同意;未依規定給予特別休假;未經工會或勞資會議同意使女性於午後10時至翌晨6時時間內工作;,
105/08/30,105/04/01,北市勞動字第10530351600號,我們好好股份有限公司,馮惠芸,勞動基準法第30條第5項;勞動基準法第37條;,未依規定置備勞工出勤紀錄;依規定應放假之日未予休假;,
105/08/30,105/04/01,北市勞動字第10530317300號,傢齊精品瓷磚有限公司,張魁倫,勞動基準法第24條;勞動基準法第32條第2項;,延長工作時間未依規定加給工資;延長工作時間超過法令規定;,
105/08/30,105/04/06,北市勞動字第10530352500號,貝克漢健康事業股份有限公司,林建吉,勞動基準法第22條第2項;勞動基準法第30條第1項;,工資未全額給付給勞工;正常工時超過法令規定;,
105/08/30,105/04/13,北市勞動字第10530348300號,大福小客車租賃股份有限公司,林家弘,勞動基準法第30條第5項;,未依規定置備勞工出勤紀錄;,
105/08/30,105/05/05,北市勞動字第10533268200,迪揚工程有限公司,黃朝陽,勞動基準法第59條第1項第4款;,未按規定給予職業災害死亡補償;,
105/08/30,105/05/06,北市勞動字第10530412600號,宏泰建設股份有限公司,林堉璘,勞動基準法第24條;,延長工作時間未依規定加給工資;,
105/08/30,105/05/16,北市勞動字第10530436600號,萬成航空科技股份有限公司,曹美香,勞動基準法第30條第1項;,正常工時超過法令規定;,
105/08/30,105/05/17,北市勞動字第10530463600,統展企業股份有限公司,莊再發,勞動基準法第36條;,每七日中未有一日之休息作為例假;,
105/08/30,105/05/23,北市勞動字第10530443800,韓媞生技股份有限公司,陳芳妹,勞動基準法第23條第1項;,工資未定期給付勞工;,
105/08/30,105/05/25,北市勞動字第10530468800,林智宏(即飛租不可企業商行),,勞動基準法第30條第1項;,正常工時超過法令規定;,
105/08/30,105/06/01,北市勞動字第10530444800號,中保車管股份有限公司,蘇盈彰,勞動基準法第30條第6項;,出勤紀錄未逐日記載勞工出勤情形至分鐘為止;,
105/08/30,105/06/01,北市勞動字第10536026200號,台灣順豐速運股份有限公司,章學芬,勞動基準法第39條;,假日工資未給或於休假日工作未依規定加給工資;,
105/08/30,105/06/01,北市勞動字第10530480500號,林明華(即林媽媽霸王鮮鍋店),,勞動基準法第30條第5項;,未依規定置備勞工出勤紀錄;,
105/08/30,105/06/01,北市勞動字第10530469600號,嘉新事業有限公司,李協益,勞動基準法第30條第1項;,正常工時超過法令規定;,
105/08/30,105/06/01,北市勞動字第10533646900號,楊志雄(即星采皮膚專科診所),,勞動基準法第22條第2項;,工資未全額給付給勞工;,
105/08/30,105/06/01,北市勞動字第10530476700號,黃威勳(即新自然烘焙坊),,勞動基準法第30條第1項;,正常工時超過法令規定;,
105/08/30,105/06/01,北市勞動字第10535600700號,台灣樂金電器股份有限公司,金載承,勞動基準法第24條;,延長工作時間未依規定加給工資;,
105/08/30,105/06/01,北市勞動字第10530443700號,英屬開曼群島商台塑河靜有限公司台灣分公司,陳源成,勞動基準法第9條第1項;,以定期契約雇用勞工從事繼續性工作;,
105/08/30,105/06/01,北市勞動字第10530468500號,加得交通器材有限公司,陳文正,勞動基準法第30條第5項;,未依規定置備勞工出勤紀錄;,
105/08/30,105/06/01,北市勞動字第10535213700號,水美溫泉浴室企業股份有限公司,周水美,勞動基準法第24條;勞動基準法第39條;,延長工作時間未依規定加給工資;假日工資未給或於休假日工作未依規定加給工資;,
105/08/30,105/06/01,北市勞動字第10535212000號,微風超市股份有限公司,黃瑞妍,勞動基準法第24條;勞動基準法第32條第2項;,延長工作時間未依規定加給工資;延長工作時間超過法令規定;,
105/08/30,105/06/01,北市勞動字第10530469800號,銀宇有限公司,張雅筑,勞動基準法第80條;,拒絕、規避或阻撓勞工檢查員依法執行職務;,
