公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
104/02/05,103/12/30,府勞動字第10337341900號,太豐觀光交通股份有限公司,丁朝明,勞動基準法第36條,每七日中未有一日之休息作為例假。,
104/02/05,103/12/29,府勞動字第10337744000號,富裕人生遊覽車客運有限公司,陳國森,勞動基準法第36條,每七日中未有一日之休息作為例假。,
104/02/05,103/12/29,府勞動字第10337732200號,中華工程股份有限公司,沈慶京,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/02/05,103/12/29,府勞動字第10338084900號,匯豐(台灣)商業銀行股份有限公司,Jayant Rikhye,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/02/05,103/12/27,府勞動字第10337749500號,金良運通運有限公司,翁炳贊,勞動基準法第36條,每七日中未有一日之休息作為例假。,
104/02/05,103/12/23,府勞動字第10338084600號,超美企業股份有限公司,蔡璧如,勞動基準法第30條第1項;勞動基準法第30條第5項;勞動基準法第37條,正常工作時間超過法令規定。;未依規定置備勞工出勤紀錄表。;依規定應放假之日未予休假。,
104/02/05,103/12/23,府勞動字第10337037600號,台灣三洋電機股份有限公司,李文峰,勞動基準法第22條第2項,工資未全額直接給付勞工。,
104/02/05,103/12/22,府勞動字第10337746600號,棟天有限公司,黃永華,勞動基準法第22條第2項,工資未全額直接給付勞工。,
104/02/05,103/12/19,府勞動字第10337021000號,味全食品工業股份有限公司,李鳳翱,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/02/05,103/12/17,府勞動字第10338213100號,豐隆大飯店股份有限公司,郭令明,勞動基準法第32條第2項,延長工作時間超過法令規定。,
104/02/05,103/12/15,府勞動字第10337766400號,台灣之星電信股份有限公司,魏應交,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資。;延長工作時間超過法令規定。,
104/02/05,103/12/08,府勞動字第10336756900號,萬成航空科技股份有限公司,曹美香,勞動基準法第22條第2項,工資未全額直接給付勞工。,
104/02/05,103/12/04,府勞動字第10336764200號,玫瑰石通運有限公司,薄定宸,勞動基準法第36條,每七日中未有一日之休息作為例假。,
104/02/05,103/12/04,府勞動字第10336764400號,紅珊瑚通運有限公司,周哲煌,勞動基準法第36條,每七日中未有一日之休息作為例假。,
104/02/05,103/12/02,府勞動字第10337021100號,雙富人力資源顧問有限公司,王翔靖,勞動基準法第32條第2項,延長工作時間超過法令規定。,
104/02/05,103/12/01,府勞動字第10336634900號,國興保全股份有限公司,王惠昌,勞動基準法第32條第2項,延長工作時間超過法令規定。,
104/02/05,103/11/21,府勞動字第10336634700號,留乃堂食品有限公司,陳育才,勞動基準法第24條;勞動基準法第30條第1項;勞動基準法第38條,延長工作時間未依規定加給工資。;正常工作時間超過法令規定。;未依規定給予特別休假。,
104/02/05,103/11/17,府勞動字第10336186100號,香港商歷�◢𧘇茼陪迨膝q台灣分公司,林鴻揚,勞動基準法第32條第1項;勞動基準法第32條第2項;勞動基準法第49條第1項,延長工作時間不符法定要件。;延長工作時間超過法令規定。;未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,
104/02/05,103/11/10,府勞動字第10335951000號,中興大業巴士股份有限公司,呂良宗,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定。;每七日中未有一日之休息作為例假。,
104/02/05,103/11/10,府勞動字第10335810700號,中國電視事業股份有限公司,林聖芬,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資。;延長工作時間超過法令規定。,
104/02/05,103/11/04,府勞動字第10335914400號,達步施企業股份有限公司,施鍊岸,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,
104/02/05,103/11/03,府勞動字第10335836300號,曾美珠（即美其小吃店）,,勞動基準法第30條第1項;勞動基準法第30條第5項;勞動基準法第38條,正常工作時間超過法令規定。;未依規定置備勞工出勤紀錄表。;未依規定給予特別休假。,
104/02/05,103/10/31,府勞動字第10336617100號,澳亞數位媒體股份有限公司,來俊良,勞動基準法第23條第1項,工資未定期給付勞工。,
104/02/05,103/10/27,府勞動字第10335950300號,高記食品有限公司,林美金,勞動基準法第30條第1項;勞動基準法第39條,正常工作時間超過法令規定。;假日工資未給或於休假日工作未依規定加給工資。,
104/02/05,103/10/24,府勞動字第10336194700號,楊松霖,,勞動基準法第21條第1項;勞動基準法第30條第1項;勞動基準法第36條;勞動基準法第39條,未達基本工資。;正常工作時間超過法令規定。;每七日中未有一日之休息作為例假。;假日工資未給或於休假日工作未依規定加給工資。,
104/02/05,103/10/23,府勞動字第10336749300號,統一超商股份有限公司,羅智先,勞動基準法第36條,每七日中未有一日之休息作為例假。,
