項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
10,郭展睿即凱威企業社,勞動基準法第22條第2項,工資未全額直接給付勞工。但法令另有規定或勞雇雙方另有約定者，不在此限,基府社關貳第1020164522號處分書,102年6月25日
11,台基國際物流股份有限公司,勞動基準法第32條第2項及第38條,1.雇主延長勞工之工作時間連同正常工作時間，一日不得超過十二小時。延長之工作時間，一個月不得超過四十六小時。2.特休假給付不足,基府社關貳第1020164522號處分書,102年7月24日
12,品維企業行即陳健寶,勞動基準法第22條第2項,工資未全額直接給付勞工。但法令另有規定或勞雇雙方另有約定者，不在此限,基府社關貳第1020169380號處分書,102年7月26日
13,中友船舶貨物裝卸承攬股份有限公司,勞動基準法第32條第2項及第39條,1.雇主延長勞工之工作時間連同正常工作時間，一日不得超過十二小時。延長之工作時間，一個月不得超過四十六小時。2.特休假給付不足。第三十六條所定之例假、第三十七條所定之休假及第三十八條所定之特別休假，工資應由雇主照給。雇主經徵得勞工同意於休假日工作者，工資應加倍發給。因季節性關係有趕工必要，經勞工或工會同意照常工作者，亦同,基府社關貳第1020172898號處分書,102年8月19日
14,謝財坤即奕華企業社,勞動基準法第22條第2項,工資未全額直接給付勞工。但法令另有規定或勞雇雙方另有約定者，不在此限。,基府社關貳第1020172899號處分書,102年8月19日
15,世潮企業股份有限公司,勞動基準法第30條第1項及第38條,1.勞工每日正常工作時間不得超過八小時，每二週工作總時數不得超過八十四小時。2.特休假給付不足。,基府社關貳第1020175948號處分書,102年9月9日
